"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,7543.332586,10788.972194,-17033.819199,-157.882351,196.806098,54.736782
1.00000,7384.911573,10984.997731,-16977.858814,-158.955878,195.240278,57.182647
2.00000,7225.428451,11179.443389,-16919.456646,-160.006544,193.646377,59.620288
3.00000,7064.906156,11372.281202,-16858.621097,-161.034198,192.024626,62.049354
4.00000,6903.367775,11563.483435,-16795.360913,-162.038692,190.375258,64.469496
5.00000,6740.836541,11753.022591,-16729.685195,-163.019881,188.698509,66.880366
6.00000,6577.335829,11940.871408,-16661.603387,-163.977624,186.994622,69.281618
7.00000,6412.889154,12127.002870,-16591.125281,-164.911783,185.263841,71.672905
8.00000,6247.520168,12311.390207,-16518.261013,-165.822225,183.506415,74.053884
9.00000,6081.252654,12494.006902,-16443.021064,-166.708818,181.722596,76.424212
10.00000,5914.110524,12674.826688,-16365.416253,-167.571435,179.912642,78.783549
11.00000,5746.117818,12853.823561,-16285.457742,-168.409951,178.076813,81.131555
12.00000,5577.298695,13030.971777,-16203.157032,-169.224246,176.215373,83.467893
13.00000,5407.677438,13206.245859,-16118.525958,-170.014204,174.328589,85.792226
14.00000,5237.278439,13379.620597,-16031.576692,-170.779709,172.416732,88.104221
15.00000,5066.126207,13551.071057,-15942.321740,-171.520653,170.480079,90.403544
16.00000,4894.245357,13720.572581,-15850.773938,-172.236928,168.518906,92.689865
17.00000,4721.660608,13888.100791,-15756.946453,-172.928432,166.533497,94.962856
18.00000,4548.396783,14053.631592,-15660.852779,-173.595065,164.524137,97.222188
19.00000,4374.478801,14217.141178,-15562.506737,-174.236731,162.491115,99.467539
20.00000,4199.931674,14378.606033,-15461.922471,-174.853339,160.434723,101.698583
21.00000,4024.780506,14538.002934,-15359.114446,-175.444798,158.355257,103.915001
22.00000,3849.050488,14695.308956,-15254.097450,-176.011025,156.253017,106.116474
23.00000,3672.766894,14850.501476,-15146.886586,-176.551938,154.128303,108.302685
24.00000,3495.955076,15003.558174,-15037.497273,-177.067459,151.981423,110.473320
25.00000,3318.640465,15154.457037,-14925.945243,-177.557513,149.812685,112.628066
26.00000,3140.848562,15303.176361,-14812.246540,-178.022031,147.622400,114.766614
27.00000,2962.604936,15449.694759,-14696.417517,-178.460946,145.410884,116.888656
28.00000,2783.935225,15593.991158,-14578.474832,-178.874194,143.178454,118.993887
29.00000,2604.865123,15736.044804,-14458.435448,-179.261716,140.925433,121.082004
30.00000,2425.420386,15875.835268,-14336.316630,-179.623457,138.652143,123.152707
31.00000,2245.626821,16013.342444,-14212.135939,-179.959364,136.358913,125.205697
32.00000,2065.510286,16148.546556,-14085.911237,-180.269388,134.046071,127.240681
33.00000,1885.096687,16281.428159,-13957.660677,-180.553486,131.713950,129.257365
34.00000,1704.411970,16411.968141,-13827.402705,-180.811617,129.362886,131.255458
35.00000,1523.482121,16540.147729,-13695.156054,-181.043743,126.993217,133.234674
36.00000,1342.333164,16665.948486,-13560.939744,-181.249831,124.605283,135.194728
37.00000,1160.991149,16789.352321,-13424.773078,-181.429851,122.199428,137.135339
38.00000,979.482159,16910.341485,-13286.675640,-181.583778,119.775999,139.056226
39.00000,797.832299,17028.898576,-13146.667292,-181.711589,117.335343,140.957114
40.00000,616.067693,17145.006545,-13004.768170,-181.813266,114.877812,142.837729
41.00000,434.214483,17258.648693,-12860.998682,-181.888795,112.403759,144.697801
42.00000,252.298824,17369.808674,-12715.379504,-181.938163,109.913539,146.537063
43.00000,70.346878,17478.470502,-12567.931581,-181.961366,107.407512,148.355249
44.00000,-111.615185,17584.618549,-12418.676118,-181.958398,104.886038,150.152099
45.00000,-293.561195,17688.237549,-12267.634582,-181.929261,102.349478,151.927353
46.00000,-475.464984,17789.312599,-12114.828695,-181.873958,99.798199,153.680757
47.00000,-657.300392,17887.829162,-11960.280434,-181.792498,97.232566,155.412059
48.00000,-839.041265,17983.773069,-11804.012028,-181.684892,94.652949,157.121009
49.00000,-1020.661466,18077.130522,-11646.045950,-181.551157,92.059719,158.807361
50.00000,-1202.134875,18167.888094,-11486.404919,-181.391310,89.453249,160.470874
51.00000,-1383.435390,18256.032731,-11325.111895,-181.205375,86.833913,162.111307
52.00000,-1564.536937,18341.551758,-11162.190076,-180.993379,84.202089,163.728425
53.00000,-1745.413470,18424.432873,-10997.662894,-180.755352,81.558155,165.321996
54.00000,-1926.038976,18504.664158,-10831.554010,-180.491329,78.902491,166.891790
55.00000,-2106.387475,18582.234073,-10663.887315,-180.201347,76.235479,168.437581
56.00000,-2286.433030,18657.131462,-10494.686924,-179.885448,73.557503,169.959147
57.00000,-2466.149747,18729.345553,-10323.977169,-179.543678,70.868948,171.456269
58.00000,-2645.511778,18798.865960,-10151.782605,-179.176085,68.170200,172.928732
