"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-15222.597457,-8731.322110,-12469.616067,182.558989,-104.711558,-149.543631
1.00000,-15038.948175,-8835.403282,-12618.259413,184.735173,-103.448291,-147.739499
2.00000,-14853.135968,-8938.213732,-12765.087982,186.884787,-102.170145,-145.914118
3.00000,-14665.187560,-9039.738675,-12910.080655,189.007524,-100.877306,-144.067753
4.00000,-14475.129982,-9139.963507,-13053.216580,191.103077,-99.569958,-142.200667
5.00000,-14282.990567,-9238.873817,-13194.475172,193.171146,-98.248289,-140.313130
6.00000,-14088.796951,-9336.455376,-13333.836113,195.211432,-96.912491,-138.405412
7.00000,-13892.577062,-9432.694152,-13471.279361,197.223643,-95.562754,-136.477789
8.00000,-13694.359120,-9527.576304,-13606.785148,199.207489,-94.199274,-134.530538
9.00000,-13494.171634,-9621.088184,-13740.333986,201.162684,-92.822245,-132.563938
10.00000,-13292.043396,-9713.216344,-13871.906668,203.088948,-91.431867,-130.578272
11.00000,-13088.003475,-9803.947534,-14001.484271,204.986003,-90.028339,-128.573827
12.00000,-12882.081216,-9893.268706,-14129.048158,206.853577,-88.611863,-126.550890
13.00000,-12674.306237,-9981.167011,-14254.579983,208.691401,-87.182642,-124.509752
14.00000,-12464.708419,-10067.629810,-14378.061693,210.499211,-85.740883,-122.450707
15.00000,-12253.317907,-10152.644666,-14499.475527,212.276746,-84.286792,-120.374051
16.00000,-12040.165104,-10236.199354,-14618.804023,214.023751,-82.820579,-118.280082
17.00000,-11825.280665,-10318.281855,-14736.030020,215.739975,-81.342455,-116.169102
18.00000,-11608.695496,-10398.880364,-14851.136659,217.425171,-79.852632,-114.041415
19.00000,-11390.440746,-10477.983290,-14964.107383,219.079097,-78.351324,-111.897326
20.00000,-11170.547805,-10555.579256,-15074.925947,220.701514,-76.838748,-109.737144
21.00000,-10949.048299,-10631.657103,-15183.576410,222.292190,-75.315121,-107.561179
22.00000,-10725.974083,-10706.205887,-15290.043148,223.850895,-73.780662,-105.369745
23.00000,-10501.357240,-10779.214888,-15394.310848,225.377406,-72.235591,-103.163156
24.00000,-10275.230076,-10850.673606,-15496.364515,226.871502,-70.680132,-100.941730
25.00000,-10047.625113,-10920.571763,-15596.189469,228.332969,-69.114507,-98.705786
26.00000,-9818.575084,-10988.899306,-15693.771356,229.761598,-67.538942,-96.455647
27.00000,-9588.112932,-11055.646409,-15789.096139,231.157181,-65.953663,-94.191635
28.00000,-9356.271803,-11120.803471,-15882.150110,232.519520,-64.358899,-91.914076
29.00000,-9123.085040,-11184.361121,-15972.919885,233.848416,-62.754879,-89.623298
30.00000,-8888.586181,-11246.310220,-16061.392410,235.143681,-61.141833,-87.319631
31.00000,-8652.808951,-11306.641856,-16147.554960,236.405127,-59.519994,-85.003404
