"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-29991.760874,-7471.622685,-28682.093808,-40.576719,-159.201631,83.901189
1.00000,-30032.051635,-7630.751359,-28597.917396,-40.002294,-159.057095,84.449370
2.00000,-30071.767596,-7789.733969,-28513.193603,-39.427103,-158.909514,84.995934
3.00000,-30110.907997,-7948.567471,-28427.924052,-38.851158,-158.758892,85.540872
4.00000,-30149.472087,-8107.248826,-28342.110374,-38.274469,-158.605231,86.084172
5.00000,-30187.459130,-8265.774996,-28255.754213,-37.697048,-158.448534,86.625825
6.00000,-30224.868397,-8424.142947,-28168.857220,-37.118905,-158.288805,87.165820
7.00000,-30261.699174,-8582.349649,-28081.421060,-36.540051,-158.126046,87.704146
8.00000,-30297.950754,-8740.392073,-27993.447406,-35.960498,-157.960260,88.240794
9.00000,-30333.622444,-8898.267194,-27904.937941,-35.380257,-157.791451,88.775752
10.00000,-30368.713561,-9055.971991,-27815.894360,-34.799339,-157.619622,89.309012
11.00000,-30403.223434,-9213.503445,-27726.318367,-34.217754,-157.444777,89.840562
12.00000,-30437.151402,-9370.858541,-27636.211677,-33.635514,-157.266918,90.370392
13.00000,-30470.496815,-9528.034267,-27545.576015,-33.052631,-157.086048,90.898493
14.00000,-30503.259035,-9685.027614,-27454.413114,-32.469115,-156.902172,91.424853
15.00000,-30535.437436,-9841.835579,-27362.724721,-31.884977,-156.715293,91.949464
16.00000,-30567.031400,-9998.455160,-27270.512590,-31.300229,-156.525415,92.472315
17.00000,-30598.040324,-10154.883358,-27177.778486,-30.714882,-156.332541,92.993396
18.00000,-30628.463613,-10311.117181,-27084.524184,-30.128947,-156.136674,93.512697
19.00000,-30658.300686,-10467.153637,-26990.751469,-29.542435,-155.937819,94.030208
20.00000,-30687.550971,-10622.989741,-26896.462136,-28.955358,-155.735979,94.545919
21.00000,-30716.213909,-10778.622509,-26801.657990,-28.367727,-155.531159,95.059821
22.00000,-30744.288950,-10934.048963,-26706.340845,-27.779552,-155.323362,95.571903
23.00000,-30771.775558,-11089.266128,-26610.512525,-27.190846,-155.112592,96.082156
