"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-36261.043616,21520.346098,69.215641,-94.150151,-158.640338,0.176764
1.00000,-36354.853377,21361.488521,69.391764,-93.455159,-159.050751,0.175437
2.00000,-36447.967199,21202.222022,69.566558,-92.758379,-159.458119,0.174107
3.00000,-36540.383299,21042.549650,69.740021,-92.059822,-159.862435,0.172774
4.00000,-36632.099909,20882.474462,69.912148,-91.359503,-160.263691,0.171437
5.00000,-36723.115273,20721.999522,70.082938,-90.657436,-160.661879,0.170098
6.00000,-36813.427648,20561.127901,70.252386,-89.953633,-161.056991,0.168754
7.00000,-36903.035305,20399.862680,70.420489,-89.248107,-161.449021,0.167408
8.00000,-36991.936529,20238.206945,70.587244,-88.540874,-161.837959,0.166059
9.00000,-37080.129619,20076.163792,70.752648,-87.831945,-162.223800,0.164706
10.00000,-37167.612886,19913.736321,70.916698,-87.121336,-162.606535,0.163350
11.00000,-37254.384656,19750.927643,71.079390,-86.409058,-162.986157,0.161991
12.00000,-37340.443266,19587.740874,71.240722,-85.695126,-163.362659,0.160629
13.00000,-37425.787071,19424.179138,71.400690,-84.979554,-163.736034,0.159264
14.00000,-37510.414435,19260.245566,71.559291,-84.262355,-164.106275,0.157896
15.00000,-37594.323740,19095.943296,71.716523,-83.543543,-164.473374,0.156524
16.00000,-37677.513379,18931.275474,71.872381,-82.823132,-164.837325,0.155150
17.00000,-37759.981759,18766.245251,72.026864,-82.101135,-165.198120,0.153773
18.00000,-37841.727302,18600.855786,72.179968,-81.377567,-165.555753,0.152393
19.00000,-37922.748442,18435.110247,72.331691,-80.652440,-165.910217,0.151010
20.00000,-38003.043630,18269.011805,72.482029,-79.925770,-166.261504,0.149624
21.00000,-38082.611327,18102.563641,72.630979,-79.197570,-166.609609,0.148235
22.00000,-38161.450011,17935.768940,72.778540,-78.467854,-166.954524,0.146844
23.00000,-38239.558172,17768.630896,72.924707,-77.736636,-167.296244,0.145449
