"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-0.003779,-12347.954145,-17634.704773,258.177443,0.000000,-0.000055
1.00000,258.167476,-12347.066194,-17633.436703,258.158878,1.775881,2.536165
2.00000,516.301601,-12344.402468,-17629.632564,258.103184,3.551506,5.072021
3.00000,774.361471,-12339.963352,-17623.292904,258.010369,5.326621,7.607147
4.00000,1032.309971,-12333.749482,-17614.418635,257.880447,7.100969,10.141179
5.00000,1290.110002,-12325.761753,-17603.011032,257.713436,8.874297,12.673753
6.00000,1547.724488,-12316.001314,-17589.071736,257.509360,10.646348,15.204504
7.00000,1805.116378,-12304.469568,-17572.602753,257.268249,12.416868,17.733068
8.00000,2062.248653,-12291.168174,-17553.606450,256.990137,14.185601,20.259082
9.00000,2319.084332,-12276.099045,-17532.085560,256.675064,15.952295,22.782182
10.00000,2575.586476,-12259.264348,-17508.043179,256.323076,17.716695,25.302005
11.00000,2831.718196,-12240.666505,-17481.482762,255.934224,19.478546,27.818190
12.00000,3087.442654,-12220.308190,-17452.408132,255.508562,21.237596,30.330374
13.00000,3342.723071,-12198.192331,-17420.823469,255.046153,22.993592,32.838195
14.00000,3597.522732,-12174.322108,-17386.733316,254.547062,24.746280,35.341294
15.00000,3851.804992,-12148.700956,-17350.142575,254.011362,26.495410,37.839310
16.00000,4105.533279,-12121.332558,-17311.056510,253.439130,28.240729,40.331884
17.00000,4358.671102,-12092.220852,-17269.480742,252.830448,29.981986,42.818657
18.00000,4611.182054,-12061.370023,-17225.421250,252.185403,31.718932,45.299272
19.00000,4863.029819,-12028.784509,-17178.884371,251.504089,33.451315,47.773371
20.00000,5114.178175,-11994.468997,-17129.876797,250.786603,35.178887,50.240600
21.00000,5364.591002,-11958.428421,-17078.405578,250.033048,36.901400,52.700604
22.00000,5614.232285,-11920.667965,-17024.478116,249.243534,38.618606,55.153028
23.00000,5863.066120,-11881.193060,-16968.102167,248.418172,40.330258,57.597519
24.00000,6111.056720,-11840.009383,-16909.285839,247.557083,42.036109,60.033727
25.00000,6358.168418,-11797.122858,-16848.037590,246.660390,43.735914,62.461301
26.00000,6604.365675,-11752.539652,-16784.366231,245.728222,45.429429,64.879892
27.00000,6849.613081,-11706.266177,-16718.280918,244.760712,47.116411,67.289151
28.00000,7093.875365,-11658.309088,-16649.791155,243.758001,48.796616,69.688733
29.00000,7337.117397,-11608.675284,-16578.906793,242.720232,50.469803,72.078292
30.00000,7579.304193,-11557.371901,-16505.638027,241.647555,52.135732,74.457484
31.00000,7820.400922,-11504.406319,-16429.995394,240.540123,53.794162,76.825968
32.00000,8060.372909,-11449.786156,-16351.989774,239.398097,55.444856,79.183403
33.00000,8299.185640,-11393.519266,-16271.632385,238.221640,57.087575,81.529449
34.00000,8536.804769,-11335.613742,-16188.934784,237.010922,58.722084,83.863770
35.00000,8773.196121,-11276.077913,-16103.908865,235.766116,60.348148,86.186030
36.00000,9008.325699,-11214.920340,-16016.566856,234.487403,61.965532,88.495894
37.00000,9242.159685,-11152.149820,-15926.921320,233.174964,63.574004,90.793030
38.00000,9474.664449,-11087.775381,-15834.985149,231.828991,65.173332,93.077108
39.00000,9705.806553,-11021.806280,-15740.771566,230.449675,66.763288,95.347800
40.00000,9935.552751,-10954.252006,-15644.294120,229.037216,68.343641,97.604779
41.00000,10163.870003,-10885.122274,-15545.566688,227.591816,69.914166,99.847720
42.00000,10390.725472,-10814.427026,-15444.603467,226.113683,71.474635,102.076301
43.00000,10616.086530,-10742.176431,-15341.418980,224.603031,73.024824,104.290201
44.00000,10839.920766,-10668.380879,-15236.028066,223.060075,74.564511,106.489102
45.00000,11062.195987,-10593.050984,-15128.445882,221.485039,76.093474,108.672687
46.00000,11282.880226,-10516.197580,-15018.687901,219.878149,77.611493,110.840643
47.00000,11501.941743,-10437.831719,-14906.769909,218.239635,79.118349,112.992658
