"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,13164.942682,-16410.580378,-4564.199804,90.464433,129.388204,-204.280374
1.00000,13254.458245,-16280.015178,-4768.147066,88.564548,131.739067,-203.609262
2.00000,13342.067532,-16147.108560,-4971.408566,86.651925,134.070983,-202.908866
3.00000,13427.757941,-16011.879640,-5173.955070,84.726840,136.383616,-202.179287
4.00000,13511.517150,-15874.347866,-5375.757448,82.789569,138.676635,-201.420631
5.00000,13593.333110,-15734.533019,-5576.786676,80.840391,140.949708,-200.633006
6.00000,13673.194057,-15592.455206,-5777.013841,78.879587,143.202511,-199.816526
7.00000,13751.088503,-15448.134863,-5976.410148,76.907438,145.434717,-198.971308
8.00000,13827.005246,-15301.592744,-6174.946917,74.924228,147.646007,-198.097473
9.00000,13900.933367,-15152.849926,-6372.595597,72.930243,149.836063,-197.195148
10.00000,13972.862235,-15001.927802,-6569.327759,70.925768,152.004568,-196.264462
11.00000,14042.781503,-14848.848076,-6765.115111,68.911093,154.151213,-195.305548
12.00000,14110.681117,-14693.632766,-6959.929493,66.886507,156.275686,-194.318546
13.00000,14176.551310,-14536.304195,-7153.742887,64.852301,158.377685,-193.303596
14.00000,14240.382610,-14376.884990,-7346.527418,62.808768,160.456904,-192.260846
15.00000,14302.165835,-14215.398079,-7538.255361,60.756202,162.513047,-191.190444
16.00000,14361.892101,-14051.866687,-7728.899140,58.694898,164.545817,-190.092544
17.00000,14419.552816,-13886.314333,-7918.431336,56.625152,166.554922,-188.967305
18.00000,14475.139689,-13718.764828,-8106.824691,54.547262,168.540072,-187.814889
19.00000,14528.644725,-13549.242269,-8294.052110,52.461527,170.500983,-186.635461
20.00000,14580.060228,-13377.771036,-8480.086666,50.368247,172.437372,-185.429191
21.00000,14629.378804,-13204.375791,-8664.901602,48.267723,174.348961,-184.196251
22.00000,14676.593360,-13029.081473,-8848.470338,46.160257,176.235475,-182.936821
23.00000,14721.697105,-12851.913291,-9030.766473,44.046152,178.096642,-181.651080
24.00000,14764.683553,-12672.896727,-9211.763790,41.925713,179.932195,-180.339214
25.00000,14805.546521,-12492.057527,-9391.436256,39.799243,181.741870,-179.001411
26.00000,14844.280132,-12309.421700,-9569.758031,37.667050,183.525406,-177.637864
27.00000,14880.878815,-12125.015513,-9746.703468,35.529439,185.282548,-176.248769
28.00000,14915.337307,-11938.865487,-9922.247120,33.386719,187.013042,-174.834326
29.00000,14947.650652,-11750.998394,-10096.363738,31.239196,188.716640,-173.394737
30.00000,14977.814202,-11561.441255,-10269.028281,29.087181,190.393096,-171.930211
31.00000,15005.823620,-11370.221331,-10440.215917,26.930983,192.042169,-170.440957
32.00000,15031.674876,-11177.366124,-10609.902024,24.770911,193.663622,-168.927190
33.00000,15055.364253,-10982.903370,-10778.062199,22.607276,195.257223,-167.389128
34.00000,15076.888345,-10786.861039,-10944.672255,20.440390,196.822741,-165.826992
35.00000,15096.244054,-10589.267323,-11109.708232,18.270565,198.359952,-164.241006
36.00000,15113.428598,-10390.150643,-11273.146394,16.098111,199.868635,-162.631399
37.00000,15128.439506,-10189.539636,-11434.963233,13.923343,201.348572,-160.998402
38.00000,15141.274617,-9987.463152,-11595.135478,11.746572,202.799551,-159.342250
39.00000,15151.932086,-9783.950256,-11753.640093,9.568111,204.221363,-157.663181
40.00000,15160.410381,-9579.030217,-11910.454281,7.388275,205.613803,-155.961436
41.00000,15166.708282,-9372.732507,-12065.555489,5.207376,206.976672,-154.237261
42.00000,15170.824883,-9165.086796,-12218.921409,3.025728,208.309773,-152.490904
43.00000,15172.759592,-8956.122947,-12370.529985,0.843644,209.612915,-150.722614
44.00000,15172.512131,-8745.871015,-12520.359412,-1.338560,210.885910,-148.932648
45.00000,15170.082536,-8534.361238,-12668.388142,-3.520572,212.128574,-147.121262
46.00000,15165.471156,-8321.624036,-12814.594884,-5.702078,213.340731,-145.288717
47.00000,15158.678653,-8107.690005,-12958.958610,-7.882764,214.522204,-143.435276
48.00000,15149.706006,-7892.589913,-13101.458560,-10.062316,215.672824,-141.561206
49.00000,15138.554505,-7676.354697,-13242.074236,-12.240420,216.792426,-139.666777
50.00000,15125.225753,-7459.015455,-13380.785417,-14.416765,217.880848,-137.752260
51.00000,15109.721667,-7240.603446,-13517.572153,-16.591035,218.937935,-135.817932
52.00000,15092.044477,-7021.150081,-13652.414770,-18.762920,219.963533,-133.864070
53.00000,15072.196726,-6800.686925,-13785.293875,-20.932106,220.957496,-131.890955
54.00000,15050.181268,-6579.245682,-13916.190358,-23.098282,221.919681,-129.898872
55.00000,15026.001269,-6356.858202,-14045.085392,-25.261136,222.849948,-127.888107
56.00000,14999.660207,-6133.556469,-14171.960440,-27.420356,223.748165,-125.858948
57.00000,14971.161870,-5909.372599,-14296.797255,-29.575633,224.614202,-123.811689
58.00000,14940.510358,-5684.338833,-14419.577882,-31.726657,225.447935,-121.746622
59.00000,14907.710078,-5458.487536,-14540.284662,-33.873117,226.249244,-119.664046
60.00000,14872.765747,-5231.851191,-14658.900236,-36.014706,227.018013,-117.564259
