"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-21528.000000,-0.000001,0.004613,-0.000045,-148.084505,-211.486575
1.00000,-21526.451950,-148.080957,-211.476893,3.096108,-148.073857,-211.471368
2.00000,-21521.807932,-296.140615,-422.927984,6.191817,-148.041911,-211.425746
3.00000,-21514.068614,-444.157682,-634.318249,9.286634,-147.988675,-211.349717
4.00000,-21503.235108,-592.110870,-845.617286,12.380117,-147.914154,-211.243291
5.00000,-21489.308974,-739.978899,-1056.794704,15.471818,-147.818360,-211.106484
6.00000,-21472.292214,-887.740504,-1267.820133,18.561295,-147.701307,-210.939315
7.00000,-21452.187275,-1035.374432,-1478.663222,21.648102,-147.563011,-210.741808
8.00000,-21428.997048,-1182.859451,-1689.293647,24.731795,-147.403492,-210.513993
9.00000,-21402.724870,-1330.174349,-1899.681115,27.811932,-147.222773,-210.255901
10.00000,-21373.374518,-1477.297940,-2109.795368,30.888068,-147.020881,-209.967569
11.00000,-21340.950214,-1624.209063,-2319.606187,33.959762,-146.797844,-209.649040
12.00000,-21305.456622,-1770.886590,-2529.083397,37.026572,-146.553694,-209.300358
13.00000,-21266.898845,-1917.309425,-2738.196869,40.088057,-146.288467,-208.921575
14.00000,-21225.282429,-2063.456510,-2946.916531,43.143777,-146.002200,-208.512744
15.00000,-21180.613360,-2209.306825,-3155.212361,46.193291,-145.694935,-208.073925
16.00000,-21132.898062,-2354.839395,-3363.054405,49.236162,-145.366715,-207.605180
17.00000,-21082.143397,-2500.033287,-3570.412768,52.271951,-145.017589,-207.106577
18.00000,-21028.356666,-2644.867621,-3777.257630,55.300223,-144.647607,-206.578187
19.00000,-20971.545603,-2789.321566,-3983.559240,58.320541,-144.256820,-206.020088
20.00000,-20911.718380,-2933.374346,-4189.287928,61.332471,-143.845287,-205.432358
21.00000,-20848.883600,-3077.005244,-4394.414107,64.335581,-143.413066,-204.815082
22.00000,-20783.050302,-3220.193602,-4598.908274,67.329438,-142.960218,-204.168350
23.00000,-20714.227953,-3362.918827,-4802.741018,70.313611,-142.486810,-203.492254
24.00000,-20642.426450,-3505.160392,-5005.883025,73.287672,-141.992909,-202.786891
25.00000,-20567.656122,-3646.897839,-5208.305078,76.251192,-141.478587,-202.052363
26.00000,-20489.927722,-3788.110783,-5409.978065,79.203746,-140.943917,-201.288776
27.00000,-20409.252427,-3928.778915,-5610.872980,82.144909,-140.388976,-200.496239
28.00000,-20325.641842,-4068.882004,-5810.960930,85.074257,-139.813844,-199.674866
29.00000,-20239.107992,-4208.399900,-6010.213139,87.991370,-139.218604,-198.824776
30.00000,-20149.663321,-4347.312538,-6208.600950,90.895828,-138.603341,-197.946090
31.00000,-20057.320694,-4485.599938,-6406.095830,93.787213,-137.968144,-197.038936
32.00000,-19962.093392,-4623.242212,-6602.669375,96.665109,-137.313105,-196.103443
33.00000,-19863.995110,-4760.219565,-6798.293314,99.529103,-136.638316,-195.139746
34.00000,-19763.039957,-4896.512295,-6992.939511,102.378783,-135.943877,-194.147984
35.00000,-19659.242453,-5032.100801,-7186.579974,105.213738,-135.229885,-193.128299
36.00000,-19552.617526,-5166.965582,-7379.186851,108.033561,-134.496445,-192.080838
37.00000,-19443.180510,-5301.087242,-7570.732441,110.837846,-133.743661,-191.005752
38.00000,-19330.947146,-5434.446492,-7761.189197,113.626191,-132.971642,-189.903195
39.00000,-19215.933575,-5567.024150,-7950.529727,116.398194,-132.180498,-188.773326
40.00000,-19098.156338,-5698.801151,-8138.726799,119.153456,-131.370345,-187.616307
41.00000,-18977.632375,-5829.758542,-8325.753347,121.891582,-130.541297,-186.432305
