"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-3975.074839,-19232.988069,8817.354136,175.607774,47.671650,183.152712
1.00000,-3799.185424,-19183.934502,8999.868395,176.166840,50.434307,181.871431
2.00000,-3622.749604,-19132.121872,9181.088279,176.700570,53.189711,180.563993
3.00000,-3445.792755,-19077.557630,9360.987724,177.208887,55.937465,179.230585
4.00000,-3268.340326,-19020.249624,9539.540857,177.691717,58.677174,177.871401
5.00000,-3090.417840,-18960.206095,9716.721999,178.148991,61.408444,176.486635
6.00000,-2912.050885,-18897.435680,9892.505666,178.580644,64.130882,175.076486
7.00000,-2733.265114,-18831.947406,10066.866578,178.986612,66.844096,173.641158
8.00000,-2554.086241,-18763.750692,10239.779657,179.366839,69.547697,172.180856
9.00000,-2374.540035,-18692.855346,10411.220035,179.721269,72.241296,170.695791
10.00000,-2194.652319,-18619.271565,10581.163055,180.049851,74.924504,169.186176
11.00000,-2014.448964,-18543.009930,10749.584276,180.352538,77.596937,167.652228
12.00000,-1833.955889,-18464.081411,10916.459474,180.629287,80.258210,166.094169
13.00000,-1653.199051,-18382.497358,11081.764651,180.880057,82.907940,164.512221
14.00000,-1472.204447,-18298.269506,11245.476030,181.104812,85.545746,162.906613
15.00000,-1290.998109,-18211.409968,11407.570068,181.303521,88.171248,161.277576
16.00000,-1109.606097,-18121.931237,11568.023451,181.476155,90.784070,159.625344
17.00000,-928.054500,-18029.846181,11726.813102,181.622688,93.383835,157.950153
18.00000,-746.369428,-17935.168044,11883.916185,181.743100,95.970169,156.252247
19.00000,-564.577013,-17837.910444,12039.310105,181.837373,98.542701,154.531867
20.00000,-382.703399,-17738.087367,12192.972512,181.905495,101.101060,152.789263
21.00000,-200.774744,-17635.713171,12344.881306,181.947454,103.644879,151.024685
22.00000,-18.817214,-17530.802578,12495.014641,181.963245,106.173791,149.238385
23.00000,163.143023,-17423.370678,12643.350923,181.952867,108.687433,147.430623
24.00000,345.079796,-17313.432922,12789.868818,181.916319,111.185444,145.601656
25.00000,526.966939,-17201.005121,12934.547254,181.853608,113.667464,143.751749
26.00000,708.778294,-17086.103444,13077.365424,181.764742,116.133136,141.881167
27.00000,890.487710,-16968.744417,13218.302786,181.649735,118.582105,139.990179
28.00000,1072.069055,-16848.944919,13357.339072,181.508603,121.014020,138.079058
29.00000,1253.496214,-16726.722178,13494.454283,181.341366,123.428530,136.148079
30.00000,1434.743093,-16602.093775,13629.628702,181.148047,125.825289,134.197518
31.00000,1615.783625,-16475.077632,13762.842885,180.928676,128.203951,132.227656
32.00000,1796.591772,-16345.692018,13894.077676,180.683284,130.564175,130.238778
33.00000,1977.141530,-16213.955541,14023.314198,180.411905,132.905621,128.231168
34.00000,2157.406933,-16079.887147,14150.533865,180.114580,135.227952,126.205116
35.00000,2337.362055,-15943.506119,14275.718380,179.791349,137.530835,124.160913
36.00000,2516.981013,-15804.832071,14398.849739,179.442262,139.813938,122.098853
37.00000,2696.237975,-15663.884947,14519.910232,179.067366,142.076932,120.019233
38.00000,2875.107160,-15520.685018,14638.882450,178.666716,144.319493,117.922351
39.00000,3053.562843,-15375.252880,14755.749280,178.240371,146.541297,115.808509
40.00000,3231.579357,-15227.609450,14870.493916,177.788391,148.742025,113.678012
41.00000,3409.131101,-15077.775960,14983.099854,177.310840,150.921362,111.531165
42.00000,3586.192538,-14925.773962,15093.550899,176.807789,153.078992,109.368277
43.00000,3762.738203,-14771.625315,15201.831165,176.279309,155.214607,107.189661
44.00000,3938.742705,-14615.352190,15307.925081,175.725476,157.327898,104.995627
45.00000,4114.180731,-14456.977061,15411.817387,175.146370,159.418562,102.786494
46.00000,4289.027049,-14296.522708,15513.493141,174.542075,161.486298,100.562577
47.00000,4463.256513,-14134.012207,15612.937720,173.912676,163.530809,98.324197
48.00000,4636.844064,-13969.468929,15710.136822,173.258265,165.551801,96.071677
49.00000,4809.764737,-13802.916541,15805.076467,172.578936,167.548983,93.805339
50.00000,4981.993662,-13634.378996,15897.743002,171.874786,169.522068,91.525509
51.00000,5153.506068,-13463.880533,15988.123098,171.145917,171.470771,89.232517
52.00000,5324.277290,-13291.445673,16076.203757,170.392433,173.394814,86.926691
53.00000,5494.282765,-13117.099217,16161.972312,169.614443,175.293919,84.608363
54.00000,5663.498045,-12940.866240,16245.416426,168.812059,177.167812,82.277866
55.00000,5831.898791,-12762.772086,16326.524099,167.985396,179.016225,79.935536
56.00000,5999.460784,-12582.842371,16405.283666,167.134574,180.838892,77.581710
57.00000,6166.159925,-12401.102972,16481.683799,166.259713,182.635550,75.216725
58.00000,6331.972240,-12217.580026,16555.713511,165.360941,184.405942,72.840923
59.00000,6496.873880,-12032.299929,16627.362154,164.438387,186.149811,70.454645
60.00000,6660.841130,-11845.289328,16696.619424,163.492183,187.866909,68.058234
61.00000,6823.850407,-11656.575119,16763.475359,162.522465,189.556987,65.652035
62.00000,6985.878268,-11466.184442,16827.920346,161.529372,191.219802,63.236393
63.00000,7146.901408,-11274.144682,16889.945114,160.513049,192.855116,60.811657
64.00000,7306.896670,-11080.483456,16949.540744,159.473640,194.462694,58.378175
65.00000,7465.841043,-10885.228617,17006.698665,158.411295,196.042303,55.936296
66.00000,7623.711666,-10688.408248,17061.410656,157.326168,197.593717,53.486373
67.00000,7780.485835,-10490.050655,17113.668847,156.218413,199.116713,51.028758
68.00000,7936.141003,-10290.184367,17163.465724,155.088191,200.611072,48.563803
69.00000,8090.654783,-10088.838128,17210.794125,153.935664,202.076579,46.091864
70.00000,8244.004952,-9886.040897,17255.647242,152.760998,203.513022,43.613295
71.00000,8396.169455,-9681.821840,17298.018625,151.564361,204.920197,41.128455
72.00000,8547.126408,-9476.210328,17337.902180,150.345926,206.297899,38.637699
73.00000,8696.854099,-9269.235933,17375.292170,149.105868,207.645931,36.141386
74.00000,8845.330996,-9060.928421,17410.183219,147.844366,208.964099,33.639875
75.00000,8992.535743,-8851.317753,17442.570308,146.561600,210.252213,31.133526
76.00000,9138.447170,-8640.434074,17472.448779,145.257756,211.510089,28.622700
77.00000,9283.044291,-8428.307715,17499.814335,143.933020,212.737545,26.107757
78.00000,9426.306309,-8214.969183,17524.663040,142.587584,213.934405,23.589059
79.00000,9568.212622,-8000.449161,17546.991321,141.221640,215.100496,21.066968
80.00000,9708.742819,-7784.778503,17566.795967,139.835386,216.235652,18.541848
81.00000,9847.876690,-7567.988225,17584.074128,138.429020,217.339707,16.014060
82.00000,9985.594224,-7350.109507,17598.823319,137.002746,218.412505,13.483970
83.00000,10121.875614,-7131.173685,17611.041421,135.556767,219.453891,10.951940
84.00000,10256.701260,-6911.212247,17620.726675,134.091293,220.463714,8.418335
85.00000,10390.051771,-6690.256827,17627.877688,132.606533,221.441830,5.883520
86.00000,10521.907968,-6468.339203,17632.493433,131.102701,222.388097,3.347858
87.00000,10652.250888,-6245.491294,17634.573244,129.580015,223.302381,0.811715
88.00000,10781.061785,-6021.745147,17634.116824,128.038691,224.184548,-1.724545
89.00000,10908.322133,-5797.132944,17631.124237,126.478953,225.034474,-4.260557
90.00000,11034.013628,-5571.686989,17625.595915,124.901025,225.852034,-6.795956
91.00000,11158.118195,-5345.439704,17617.532651,123.305133,226.637112,-9.330378
92.00000,11280.617983,-5118.423630,17606.935607,121.691507,227.389595,-11.863457
93.00000,11401.495375,-4890.671416,17593.806305,120.060380,228.109374,-14.394831
