"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-15222.592114,8731.322109,12469.622591,-182.559053,-104.711558,-149.543552
1.00000,-15404.052122,8625.985185,12319.185923,-180.356614,-105.959765,-151.326178
2.00000,-15583.296696,8519.407658,12166.977491,-178.128236,-107.192734,-153.087039
3.00000,-15760.300055,8411.604856,12013.019184,-175.874240,-108.410285,-154.825883
4.00000,-15935.036743,8302.592285,11857.333146,-173.594949,-109.612245,-156.542460
5.00000,-16107.481630,8192.385621,11699.941768,-171.290691,-110.798440,-158.236523
6.00000,-16277.609913,8081.000716,11540.867686,-168.961798,-111.968700,-159.907828
7.00000,-16445.397125,7968.453589,11380.133779,-166.608604,-113.122857,-161.556135
8.00000,-16610.819134,7854.760426,11217.763162,-164.231449,-114.260744,-163.181206
9.00000,-16773.852149,7739.937579,11053.779190,-161.830673,-115.382198,-164.782808
10.00000,-16934.472722,7624.001562,10888.205445,-159.406623,-116.487057,-166.360712
11.00000,-17092.657753,7506.969049,10721.065742,-156.959647,-117.575163,-167.914688
12.00000,-17248.384491,7388.856873,10552.384118,-154.490096,-118.646359,-169.444516
13.00000,-17401.630539,7269.682019,10382.184834,-151.998327,-119.700492,-170.949973
14.00000,-17552.373857,7149.461628,10210.492368,-149.484697,-120.737408,-172.430844
15.00000,-17700.592766,7028.212991,10037.331413,-146.949568,-121.756960,-173.886916
16.00000,-17846.265948,6905.953544,9862.726873,-144.393304,-122.759001,-175.317979
17.00000,-17989.372451,6782.700873,9686.703860,-141.816273,-123.743387,-176.723827
18.00000,-18129.891695,6658.472703,9509.287690,-139.218846,-124.709975,-178.104259
19.00000,-18267.803470,6533.286901,9330.503880,-136.601397,-125.658628,-179.459076
20.00000,-18403.087940,6407.161472,9150.378142,-133.964301,-126.589208,-180.788083
21.00000,-18535.725650,6280.114555,8968.936382,-131.307938,-127.501582,-182.091088
22.00000,-18665.697522,6152.164421,8786.204696,-128.632691,-128.395618,-183.367905
23.00000,-18792.984864,6023.329474,8602.209364,-125.938943,-129.271188,-184.618349
24.00000,-18917.569370,5893.628242,8416.976848,-123.227082,-130.128167,-185.842241
25.00000,-19039.433122,5763.079379,8230.533790,-120.497499,-130.966430,-187.039406
26.00000,-19158.558592,5631.701661,8042.907004,-117.750586,-131.785857,-188.209670
27.00000,-19274.928648,5499.513983,7854.123474,-114.986737,-132.586331,-189.352865
28.00000,-19388.526554,5366.535356,7664.210352,-112.206351,-133.367735,-190.468827
29.00000,-19499.335972,5232.784906,7473.194951,-109.409828,-134.129959,-191.557396
30.00000,-19607.340965,5098.281868,7281.104744,-106.597569,-134.872892,-192.618415
31.00000,-19712.525999,4963.045588,7087.967356,-103.769978,-135.596427,-193.651731
32.00000,-19814.875946,4827.095514,6893.810566,-100.927464,-136.300461,-194.657195
33.00000,-19914.376088,4690.451200,6698.662297,-98.070434,-136.984892,-195.634664
34.00000,-20011.012112,4553.132298,6502.550617,-95.199299,-137.649621,-196.583996
35.00000,-20104.770121,4415.158558,6305.503729,-92.314472,-138.294553,-197.505056
36.00000,-20195.636631,4276.549822,6107.549974,-89.416369,-138.919596,-198.397710
37.00000,-20283.598573,4137.326026,5908.717821,-86.505406,-139.524659,-199.261830
38.00000,-20368.643295,3997.507194,5709.035867,-83.582001,-140.109655,-200.097291
39.00000,-20450.758568,3857.113434,5508.532831,-80.646576,-140.674500,-200.903975
40.00000,-20529.932580,3716.164937,5307.237549,-77.699551,-141.219114,-201.681764
41.00000,-20606.153946,3574.681976,5105.178972,-74.741352,-141.743417,-202.430547
42.00000,-20679.411702,3432.684899,4902.386160,-71.772404,-142.247334,-203.150216
43.00000,-20749.695312,3290.194127,4698.888279,-68.793133,-142.730793,-203.840668
44.00000,-20816.994669,3147.230155,4494.714597,-65.803968,-143.193725,-204.501803
45.00000,-20881.300093,3003.813543,4289.894478,-62.805339,-143.636062,-205.133526
46.00000,-20942.602336,2859.964918,4084.457379,-59.797677,-144.057741,-205.735747
47.00000,-21000.892580,2715.704968,3878.432847,-56.781415,-144.458701,-206.308378
48.00000,-21056.162444,2571.054442,3671.850513,-53.756987,-144.838885,-206.851338
49.00000,-21108.403977,2426.034142,3464.740088,-50.724827,-145.198238,-207.364548
50.00000,-21157.609667,2280.664926,3257.131358,-47.685372,-145.536709,-207.847935
51.00000,-21203.772436,2134.967702,3049.054183,-44.639059,-145.854248,-208.301428
52.00000,-21246.885645,1988.963423,2840.538488,-41.586326,-146.150810,-208.724964
53.00000,-21286.943094,1842.673088,2631.614262,-38.527612,-146.426353,-209.118480
54.00000,-21323.939021,1696.117737,2422.311553,-35.463356,-146.680836,-209.481920
55.00000,-21357.868106,1549.318447,2212.660464,-32.394000,-146.914224,-209.815233
56.00000,-21388.725469,1402.296333,2002.691146,-29.319986,-147.126482,-210.118369
57.00000,-21416.506671,1255.072538,1792.433799,-26.241754,-147.317580,-210.391286
58.00000,-21441.207719,1107.668236,1581.918660,-23.159748,-147.487490,-210.633944
59.00000,-21462.825058,960.104628,1371.176008,-20.074412,-147.636189,-210.846309
60.00000,-21481.355580,812.402936,1160.236151,-16.986188,-147.763654,-211.028349
61.00000,-21496.796620,664.584403,949.129426,-13.895521,-147.869868,-211.180039
62.00000,-21509.145956,516.670288,737.886197,-10.802856,-147.954815,-211.301356
63.00000,-21518.401814,368.681865,526.536844,-7.708637,-148.018483,-211.392284
64.00000,-21524.562862,220.640418,315.111763,-4.613310,-148.060863,-211.452809
65.00000,-21527.628213,72.567238,103.641362,-1.517319,-148.081948,-211.482923
66.00000,-21527.597427,-75.516379,-107.843944,1.578890,-148.081736,-211.482621
67.00000,-21524.470508,-223.589135,-319.313740,4.674873,-148.060227,-211.451903
68.00000,-21518.247906,-371.629734,-530.737612,7.770182,-148.017423,-211.390773
69.00000,-21508.930515,-519.616885,-742.085153,10.864375,-147.953331,-211.299241
70.00000,-21496.519677,-667.529304,-953.325965,13.957004,-147.867961,-211.177320
71.00000,-21481.017176,-815.345717,-1164.429669,17.047627,-147.761323,-211.025027
72.00000,-21462.425241,-963.044866,-1375.365903,20.135797,-147.633435,-210.842384
73.00000,-21440.746546,-1110.605509,-1586.104329,23.221072,-147.484313,-210.629417
74.00000,-21415.984210,-1258.006423,-1796.614639,26.303007,-147.313981,-210.386157
75.00000,-21388.141793,-1405.226408,-2006.866558,29.381159,-147.122461,-210.112640
76.00000,-21357.223300,-1552.244291,-2216.829846,32.455085,-146.909782,-209.808903
77.00000,-21323.233178,-1699.038928,-2426.474305,35.524344,-146.675974,-209.474991
78.00000,-21286.176315,-1845.589207,-2635.769786,38.588494,-146.421071,-209.110953
79.00000,-21246.058041,-1991.874050,-2844.686186,41.647093,-146.145109,-208.716839
80.00000,-21202.884125,-2137.872418,-3053.193459,44.699703,-145.848129,-208.292708
81.00000,-21156.660778,-2283.563315,-3261.261616,47.745884,-145.530172,-207.838620
82.00000,-21107.394646,-2428.925785,-3468.860734,50.785198,-145.191285,-207.354640
83.00000,-21055.092816,-2573.938924,-3675.960955,53.817209,-144.831517,-206.840838
84.00000,-20999.762809,-2718.581875,-3882.532493,56.841479,-144.450918,-206.297287
85.00000,-20941.412583,-2862.833836,-4088.545640,59.857574,-144.049545,-205.724067
86.00000,-20880.050531,-3006.674059,-4293.970765,62.865060,-143.627454,-205.121259
87.00000,-20815.685477,-3150.081857,-4498.778325,65.863505,-143.184706,-204.488951
88.00000,-20748.326678,-3293.036606,-4702.938864,68.852477,-142.721365,-203.827232
89.00000,-20677.983823,-3435.517745,-4906.423018,71.831547,-142.237498,-203.136199
90.00000,-20604.667028,-3577.504782,-5109.201523,74.800286,-141.733174,-202.415950
91.00000,-20528.386837,-3718.977297,-5311.245215,77.758267,-141.208465,-201.666590
92.00000,-20449.154221,-3859.914943,-5512.525035,80.705065,-140.663448,-200.888225
93.00000,-20366.980576,-4000.297450,-5713.012035,83.640255,-140.098201,-200.080969
