"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,8443.001459,29662.773453,-28754.633863,-117.344063,114.877593,84.050868
1.00000,8325.578379,29777.367357,-28670.307097,-117.504531,114.308750,84.600436
2.00000,8207.995964,29891.391329,-28585.431566,-117.662750,113.737720,85.148384
3.00000,8090.256465,30004.843184,-28500.008894,-117.818717,113.164512,85.694703
4.00000,7972.362136,30117.720753,-28414.040715,-117.972428,112.589138,86.239382
5.00000,7854.315232,30230.021873,-28327.528676,-118.123882,112.011610,86.782410
6.00000,7736.118013,30341.744397,-28240.474433,-118.273075,111.431937,87.323777
7.00000,7617.772741,30452.886184,-28152.879651,-118.420005,110.850132,87.863472
8.00000,7499.281682,30563.445109,-28064.746007,-118.564667,110.266204,88.401486
9.00000,7380.647103,30673.419055,-27976.075188,-118.707061,109.680167,88.937808
10.00000,7261.871276,30782.805917,-27886.868892,-118.847182,109.092030,89.472427
11.00000,7142.956472,30891.603601,-27797.128825,-118.985029,108.501805,90.005334
12.00000,7023.904969,30999.810025,-27706.856706,-119.120599,107.909503,90.536518
13.00000,6904.719044,31107.423118,-27616.054262,-119.253888,107.315136,91.065969
14.00000,6785.400980,31214.440820,-27524.723231,-119.384895,106.718715,91.593677
15.00000,6665.953060,31320.861082,-27432.865362,-119.513617,106.120251,92.119632
16.00000,6546.377569,31426.681869,-27340.482413,-119.640052,105.519756,92.643824
17.00000,6426.676797,31531.901153,-27247.576151,-119.764197,104.917241,93.166242
18.00000,6306.853034,31636.516922,-27154.148356,-119.886049,104.312718,93.686877
19.00000,6186.908575,31740.527174,-27060.200815,-120.005607,103.706198,94.205719
20.00000,6066.845714,31843.929916,-26965.735327,-120.122868,103.097694,94.722758
21.00000,5946.666750,31946.723170,-26870.753699,-120.237830,102.487216,95.237984
22.00000,5826.373982,32048.904969,-26775.257751,-120.350491,101.874777,95.751387
23.00000,5705.969714,32150.473357,-26679.249309,-120.460848,101.260387,96.262957
24.00000,5585.456249,32251.426389,-26582.730211,-120.568900,100.644060,96.772685
25.00000,5464.835895,32351.762134,-26485.702305,-120.674644,100.025806,97.280560
26.00000,5344.110959,32451.478671,-26388.167448,-120.778078,99.405638,97.786574
27.00000,5223.283753,32550.574091,-26290.127507,-120.879201,98.783567,98.290715
28.00000,5102.356589,32649.046497,-26191.584358,-120.978010,98.159605,98.792975
29.00000,4981.331781,32746.894006,-26092.539887,-121.074504,97.533764,99.293345
30.00000,4860.211647,32844.114744,-25992.995991,-121.168680,96.906057,99.791814
31.00000,4738.998503,32940.706849,-25892.954574,-121.260537,96.276494,100.288372
32.00000,4617.694671,33036.668475,-25792.417551,-121.350074,95.645089,100.783012
33.00000,4496.302471,33131.997782,-25691.386848,-121.437287,95.011854,101.275722
34.00000,4374.824228,33226.692948,-25589.864397,-121.522177,94.376799,101.766493
35.00000,4253.262265,33320.752159,-25487.852141,-121.604741,93.739939,102.255317
36.00000,4131.618911,33414.173615,-25385.352034,-121.684977,93.101284,102.742184
37.00000,4009.896493,33506.955529,-25282.366037,-121.762884,92.460847,103.227084
38.00000,3888.097340,33599.096123,-25178.896122,-121.838461,91.818640,103.710008
39.00000,3766.223784,33690.593635,-25074.944268,-121.911705,91.174676,104.190947
40.00000,3644.278158,33781.446313,-24970.512466,-121.982617,90.528967,104.669892
41.00000,3522.262796,33871.652419,-24865.602714,-122.051193,89.881525,105.146834
42.00000,3400.180032,33961.210225,-24760.217021,-122.117434,89.232362,105.621762
43.00000,3278.032204,34050.118017,-24654.357404,-122.181337,88.581492,106.094670
44.00000,3155.821649,34138.374095,-24548.025888,-122.242902,87.928926,106.565546
45.00000,3033.550707,34225.976768,-24441.224509,-122.302128,87.274678,107.034383
46.00000,2911.221717,34312.924360,-24333.955312,-122.359012,86.618758,107.501171
47.00000,2788.837021,34399.215206,-24226.220349,-122.413555,85.961181,107.965901
48.00000,2666.398961,34484.847655,-24118.021683,-122.465754,85.301959,108.428565
49.00000,2543.909881,34569.820068,-24009.361385,-122.515610,84.641103,108.889154
50.00000,2421.372126,34654.130818,-23900.241534,-122.563121,83.978628,109.347658
51.00000,2298.788039,34737.778293,-23790.664219,-122.608286,83.314546,109.804070
52.00000,2176.159969,34820.760890,-23680.631537,-122.651104,82.648868,110.258379
53.00000,2053.490261,34903.077021,-23570.145595,-122.691575,81.981609,110.710579
54.00000,1930.781263,34984.725111,-23459.208507,-122.729697,81.312780,111.160659
55.00000,1808.035325,35065.703597,-23347.822397,-122.765471,80.642396,111.608611
56.00000,1685.254795,35146.010929,-23235.989396,-122.798895,79.970467,112.054427
57.00000,1562.442023,35225.645569,-23123.711645,-122.829968,79.297008,112.498099
58.00000,1439.599360,35304.605995,-23010.991294,-122.858691,78.622031,112.939617
59.00000,1316.729158,35382.890694,-22897.830500,-122.885062,77.945550,113.378974
60.00000,1193.833767,35460.498167,-22784.231428,-122.909082,77.267576,113.816160
61.00000,1070.915540,35537.426931,-22670.196254,-122.930748,76.588124,114.251168
62.00000,947.976830,35613.675511,-22555.727159,-122.950062,75.907205,114.683989
63.00000,825.019989,35689.242449,-22440.826335,-122.967023,75.224834,115.114615
64.00000,702.047371,35764.126297,-22325.495981,-122.981630,74.541023,115.543037
65.00000,579.061329,35838.325624,-22209.738304,-122.993884,73.855785,115.969248
66.00000,456.064218,35911.839009,-22093.555521,-123.003783,73.169133,116.393239
67.00000,333.058392,35984.665044,-21976.949855,-123.011329,72.481081,116.815003
68.00000,210.046204,36056.802335,-21859.923538,-123.016519,71.791641,117.234530
69.00000,87.030009,36128.249503,-21742.478809,-123.019356,71.100828,117.651814
70.00000,-35.987838,36199.005179,-21624.617917,-123.019837,70.408653,118.066846
71.00000,-159.004983,36269.068009,-21506.343118,-123.017965,69.715131,118.479617
72.00000,-282.019071,36338.436651,-21387.656676,-123.013738,69.020275,118.890121
73.00000,-405.027748,36407.109780,-21268.560862,-123.007156,68.324097,119.298350
74.00000,-528.028660,36475.086079,-21149.057956,-122.998220,67.626612,119.704295
75.00000,-651.019453,36542.364247,-21029.150245,-122.986930,66.927832,120.107949
76.00000,-773.997772,36608.942998,-20908.840024,-122.973286,66.227771,120.509303
77.00000,-896.961263,36674.821056,-20788.129597,-122.957288,65.526443,120.908352
78.00000,-1019.907574,36739.997161,-20667.021273,-122.938937,64.823860,121.305086
79.00000,-1142.834351,36804.470065,-20545.517370,-122.918233,64.120037,121.699498
80.00000,-1265.739242,36868.238534,-20423.620215,-122.895177,63.414986,122.091581
81.00000,-1388.619893,36931.301347,-20301.332141,-122.869768,62.708721,122.481326
82.00000,-1511.473954,36993.657299,-20178.655487,-122.842008,62.001256,122.868728
83.00000,-1634.299073,37055.305194,-20055.592603,-122.811896,61.292605,123.253777
84.00000,-1757.092898,37116.243853,-19932.145844,-122.779434,60.582780,123.636468
85.00000,-1879.853081,37176.472109,-19808.317572,-122.744622,59.871796,124.016792
86.00000,-2002.577270,37235.988810,-19684.110158,-122.707461,59.159665,124.394742
87.00000,-2125.263118,37294.792817,-19559.525979,-122.667951,58.446403,124.770312
88.00000,-2247.908277,37352.883004,-19434.567420,-122.626094,57.732021,125.143493
89.00000,-2370.510398,37410.258259,-19309.236872,-122.581889,57.016535,125.514279
90.00000,-2493.067135,37466.917483,-19183.536735,-122.535338,56.299957,125.882662
91.00000,-2615.576143,37522.859594,-19057.469414,-122.486442,55.582302,126.248636
92.00000,-2738.035077,37578.083518,-18931.037323,-122.435202,54.863583,126.612194
93.00000,-2860.441593,37632.588201,-18804.242881,-122.381618,54.143813,126.973328
94.00000,-2982.793349,37686.372598,-18677.088515,-122.325692,53.423007,127.332032
95.00000,-3105.088002,37739.435679,-18549.576659,-122.267425,52.701179,127.688298
96.00000,-3227.323212,37791.776430,-18421.709754,-122.206818,51.978342,128.042121
97.00000,-3349.496639,37843.393848,-18293.490247,-122.143871,51.254510,128.393492
98.00000,-3471.605945,37894.286946,-18164.920592,-122.078587,50.529697,128.742406
99.00000,-3593.648794,37944.454749,-18036.003251,-122.010966,49.803917,129.088856
100.00000,-3715.622848,37993.896297,-17906.740691,-121.941011,49.077183,129.432836
101.00000,-3837.525774,38042.610643,-17777.135385,-121.868721,48.349511,129.774337
102.00000,-3959.355239,38090.596856,-17647.189815,-121.794099,47.620912,130.113355
103.00000,-4081.108910,38137.854016,-17516.906468,-121.717145,46.891403,130.449882
104.00000,-4202.784458,38184.381220,-17386.287838,-121.637862,46.160995,130.783913
105.00000,-4324.379553,38230.177576,-17255.336424,-121.556251,45.429704,131.115440
106.00000,-4445.891869,38275.242208,-17124.054734,-121.472314,44.697544,131.444458
107.00000,-4567.319079,38319.574253,-16992.445280,-121.386052,43.964528,131.770959
108.00000,-4688.658860,38363.172864,-16860.510580,-121.297466,43.230670,132.094939
109.00000,-4809.908889,38406.037205,-16728.253161,-121.206559,42.495985,132.416390
110.00000,-4931.066846,38448.166455,-16595.675554,-121.113332,41.760487,132.735306
111.00000,-5052.130412,38489.559809,-16462.780297,-121.017787,41.024189,133.051682
112.00000,-5173.097269,38530.216475,-16329.569932,-120.919925,40.287106,133.365512
113.00000,-5293.965103,38570.135673,-16196.047011,-120.819750,39.549252,133.676788
114.00000,-5414.731599,38609.316640,-16062.214088,-120.717262,38.810641,133.985506
115.00000,-5535.394447,38647.758626,-15928.073725,-120.612463,38.071287,134.291660
116.00000,-5655.951338,38685.460895,-15793.628490,-120.505356,37.331204,134.595242
117.00000,-5776.399963,38722.422726,-15658.880956,-120.395943,36.590407,134.896249
118.00000,-5896.738018,38758.643411,-15523.833703,-120.284225,35.848909,135.194674
119.00000,-6016.963200,38794.122256,-15388.489314,-120.170205,35.106725,135.490511
120.00000,-6137.073206,38828.858583,-15252.850381,-120.053885,34.363869,135.783755
121.00000,-6257.065739,38862.851726,-15116.919500,-119.935268,33.620355,136.074399
122.00000,-6376.938502,38896.101035,-14980.699273,-119.814355,32.876198,136.362440
123.00000,-6496.689201,38928.605874,-14844.192307,-119.691148,32.131412,136.647870
124.00000,-6616.315543,38960.365620,-14707.401215,-119.565651,31.386010,136.930684
125.00000,-6735.815239,38991.379666,-14570.328614,-119.437866,30.640008,137.210878
126.00000,-6855.186002,39021.647417,-14432.977130,-119.307795,29.893419,137.488445
127.00000,-6974.425547,39051.168295,-14295.349390,-119.175440,29.146258,137.763381
128.00000,-7093.531593,39079.941734,-14157.448029,-119.040804,28.398539,138.035680
