"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,7543.339888,-10788.972193,17033.815966,157.882374,196.806098,54.736714
1.00000,7700.676030,-10591.394969,17087.326452,156.786139,198.343614,52.282977
2.00000,7856.904649,-10392.294473,17138.379413,155.667354,199.852604,49.821721
3.00000,8012.003275,-10191.699342,17186.967506,154.526181,201.332851,47.353299
4.00000,8165.949603,-9989.638424,17233.083741,153.362784,202.784141,44.878067
5.00000,8318.721491,-9786.140781,17276.721488,152.177330,204.206267,42.396380
6.00000,8470.296967,-9581.235680,17317.874469,150.969989,205.599024,39.908596
7.00000,8620.654232,-9374.952591,17356.536767,149.740936,206.962211,37.415072
8.00000,8769.771661,-9167.321181,17392.702820,148.490347,208.295632,34.916167
9.00000,8917.627808,-8958.371312,17426.367427,147.218402,209.599096,32.412241
10.00000,9064.201407,-8748.133037,17457.525747,145.925283,210.872415,29.903652
11.00000,9209.471379,-8536.636591,17486.173299,144.611178,212.115406,27.390763
12.00000,9353.416830,-8323.912393,17512.305961,143.276274,213.327891,24.873935
13.00000,9496.017058,-8109.991037,17535.919976,141.920764,214.509694,22.353529
14.00000,9637.251554,-7894.903289,17557.011948,140.544843,215.660646,19.829908
15.00000,9777.100006,-7678.680084,17575.578842,139.148708,216.780581,17.303436
16.00000,9915.542299,-7461.352519,17591.617990,137.732561,217.869339,14.774474
17.00000,10052.558524,-7242.951851,17605.127083,136.296604,218.926762,12.243388
18.00000,10188.128974,-7023.509490,17616.104179,134.841046,219.952699,9.710541
19.00000,10322.234151,-6803.056997,17624.547700,133.366094,220.947003,7.176298
20.00000,10454.854769,-6581.626077,17630.456430,131.871962,221.909529,4.641022
21.00000,10585.971753,-6359.248578,17633.829521,130.358863,222.840139,2.105079
22.00000,10715.566245,-6135.956481,17634.666487,128.827016,223.738701,-0.431167
23.00000,10843.619609,-5911.781902,17632.967207,127.276641,224.605084,-2.967351
24.00000,10970.113425,-5686.757081,17628.731926,125.707961,225.439164,-5.503109
25.00000,11095.029503,-5460.914382,17621.961254,124.121201,226.240821,-8.038074
26.00000,11218.349877,-5234.286285,17612.656163,122.516590,227.009940,-10.571884
27.00000,11340.056810,-5006.905385,17600.817993,120.894358,227.746410,-13.104173
28.00000,11460.132798,-4778.804384,17586.448445,119.254740,228.450124,-15.634578
29.00000,11578.560572,-4550.016089,17569.549587,117.597969,229.120983,-18.162734
30.00000,11695.323099,-4320.573402,17550.123848,115.924286,229.758890,-20.688277
31.00000,11810.403586,-4090.509324,17528.174024,114.233930,230.363752,-23.210846
32.00000,11923.785483,-3859.856943,17503.703269,112.527145,230.935482,-25.730076
33.00000,12035.452482,-3628.649430,17476.715105,110.804176,231.474000,-28.245606
34.00000,12145.388523,-3396.920040,17447.213412,109.065271,231.979226,-30.757073
35.00000,12253.577796,-3164.702100,17415.202434,107.310681,232.451089,-33.264117
36.00000,12360.004740,-2932.029006,17380.686774,105.540656,232.889520,-35.766376
37.00000,12464.654048,-2698.934224,17343.671396,103.755453,233.294457,-38.263492
38.00000,12567.510671,-2465.451277,17304.161625,101.955327,233.665841,-40.755104
39.00000,12668.559814,-2231.613745,17262.163141,100.140538,234.003618,-43.240856
40.00000,12767.786946,-1997.455259,17217.681987,98.311346,234.307741,-45.720388
41.00000,12865.177794,-1763.009496,17170.724558,96.468016,234.578166,-48.193344
42.00000,12960.718352,-1528.310174,17121.297609,94.610811,234.814853,-50.659369
43.00000,13054.394880,-1293.391048,17069.408248,92.739999,235.017768,-53.118109
44.00000,13146.193903,-1058.285904,17015.063938,90.855849,235.186883,-55.569209
45.00000,13236.102221,-823.028556,16958.272494,88.958632,235.322173,-58.012317
46.00000,13324.106902,-587.652839,16899.042086,87.048620,235.423619,-60.447081
47.00000,13410.195288,-352.192604,16837.381230,85.126090,235.491206,-62.873152
48.00000,13494.355000,-116.681717,16773.298796,83.191316,235.524924,-65.290180
49.00000,13576.573932,118.845952,16706.804000,81.244578,235.524768,-67.697818
50.00000,13656.840260,354.356528,16637.906406,79.286154,235.490739,-70.095720
51.00000,13735.142440,589.816140,16566.615921,77.316328,235.422841,-72.483540
52.00000,13811.469210,825.190923,16492.942800,75.335382,235.321084,-74.860936
53.00000,13885.809593,1060.447027,16416.897638,73.343602,235.185483,-77.227565
54.00000,13958.152897,1295.550615,16338.491372,71.341272,235.016058,-79.583087
55.00000,14028.488717,1530.467875,16257.735279,69.328683,234.812832,-81.927164
56.00000,14096.806939,1765.165021,16174.640972,67.306122,234.575834,-84.259457
57.00000,14163.097735,1999.608298,16089.220404,65.273882,234.305100,-86.579632
58.00000,14227.351573,2233.763988,16001.485858,63.232253,234.000668,-88.887356
59.00000,14289.559211,2467.598415,15911.449954,61.181531,233.662581,-91.182295
60.00000,14349.711701,2701.077948,15819.125640,59.122009,233.290888,-93.464120
61.00000,14407.800394,2934.169007,15724.526194,57.053984,232.885644,-95.732503
62.00000,14463.816935,3166.838070,15627.665223,54.977754,232.446905,-97.987118
63.00000,14517.753266,3399.051674,15528.556656,52.893616,231.974735,-100.227640
64.00000,14569.601632,3630.776420,15427.214748,50.801872,231.469203,-102.453747
65.00000,14619.354574,3861.978982,15323.654074,48.702821,230.930380,-104.665119
66.00000,14667.004938,4092.626109,15217.889528,46.596765,230.358344,-106.861438
67.00000,14712.545871,4322.684627,15109.936321,44.484008,229.753178,-109.042388
68.00000,14755.970822,4552.121451,14999.809979,42.364853,229.114969,-111.207655
69.00000,14797.273546,4780.903581,14887.526341,40.239605,228.443807,-113.356929
70.00000,14836.448103,5008.998114,14773.101556,38.108570,227.739791,-115.489899
71.00000,14873.488859,5236.372245,14656.552080,35.972054,227.003021,-117.606259
72.00000,14908.390486,5462.993273,14537.894676,33.830364,226.233603,-119.705705
73.00000,14941.147966,5688.828604,14417.146409,31.683809,225.431647,-121.787935
74.00000,14971.756586,5913.845759,14294.324646,29.532697,224.597270,-123.852648
75.00000,15000.211944,6138.012376,14169.447050,27.377338,223.730590,-125.899550
76.00000,15026.509949,6361.296214,14042.531582,25.218041,222.831734,-127.928344
77.00000,15050.646817,6583.665161,13913.596495,23.055117,221.900829,-129.938739
78.00000,15072.619078,6805.087234,13782.660334,20.888878,220.938010,-131.930446
79.00000,15092.423571,7025.530590,13649.741928,18.719634,219.943416,-133.903179
80.00000,15110.057448,7244.963522,13514.860395,16.547698,218.917189,-135.856654
81.00000,15125.518173,7463.354472,13378.035133,14.373382,217.859477,-137.790589
82.00000,15138.803522,7680.672032,13239.285822,12.196998,216.770432,-139.704708
83.00000,15149.911584,7896.884944,13098.632416,10.018861,215.650211,-141.598733
84.00000,15158.840763,8111.962115,12956.095144,7.839282,214.498974,-143.472394
85.00000,15165.589773,8325.872610,12811.694506,5.658577,213.316889,-145.325420
86.00000,15170.157645,8538.585665,12665.451270,3.477057,212.104123,-147.157546
