"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,-42163.139028,506.611584,80.144315,-2.216398,-184.461721,0.001674
1.00000,-42164.952020,322.131923,80.145235,-1.409312,-184.469653,0.000140
2.00000,-42165.957851,137.646096,80.144621,-0.602198,-184.474053,-0.001394
3.00000,-42166.156501,-46.842366,80.142473,0.204928,-184.474922,-0.002928
4.00000,-42165.547967,-231.329931,80.138790,1.012049,-184.472260,-0.004462
5.00000,-42164.132260,-415.813068,80.133574,1.819151,-184.466066,-0.005996
6.00000,-42161.909407,-600.288245,80.126823,2.626218,-184.456341,-0.007529
7.00000,-42158.879451,-784.751931,80.118539,3.433235,-184.443085,-0.009063
8.00000,-42155.042450,-969.200594,80.108721,4.240186,-184.426299,-0.010597
9.00000,-42150.398477,-1153.630704,80.097370,5.047056,-184.405981,-0.012130
10.00000,-42144.947621,-1338.038730,80.084485,5.853830,-184.382134,-0.013663
11.00000,-42138.689986,-1522.421142,80.070067,6.660491,-184.354757,-0.015196
12.00000,-42131.625693,-1706.774410,80.054117,7.467025,-184.323851,-0.016728
13.00000,-42123.754877,-1891.095006,80.036634,8.273416,-184.289417,-0.018260
14.00000,-42115.077688,-2075.379401,80.017619,9.079648,-184.251455,-0.019792
15.00000,-42105.594292,-2259.624066,79.997072,9.885707,-184.209965,-0.021324
16.00000,-42095.304871,-2443.825476,79.974994,10.691576,-184.164949,-0.022855
17.00000,-42084.209622,-2627.980104,79.951385,11.497241,-184.116408,-0.024385
18.00000,-42072.308757,-2812.084425,79.926245,12.302686,-184.064342,-0.025916
19.00000,-42059.602504,-2996.134914,79.899575,13.107895,-184.008753,-0.027445
20.00000,-42046.091106,-3180.128048,79.871376,13.912853,-183.949641,-0.028974
21.00000,-42031.774822,-3364.060305,79.841648,14.717545,-183.887008,-0.030503
22.00000,-42016.653926,-3547.928164,79.810392,15.521956,-183.820855,-0.032031
23.00000,-42000.728708,-3731.728105,79.777608,16.326069,-183.751183,-0.033558
24.00000,-41983.999472,-3915.456611,79.743297,17.129869,-183.677993,-0.035085
25.00000,-41966.466538,-4099.110162,79.707459,17.933342,-183.601288,-0.036611
26.00000,-41948.130243,-4282.685245,79.670095,18.736471,-183.521067,-0.038136
27.00000,-41928.990937,-4466.178344,79.631206,19.539242,-183.437334,-0.039661
28.00000,-41909.048986,-4649.585948,79.590793,20.341638,-183.350089,-0.041185
29.00000,-41888.304773,-4832.904545,79.548856,21.143646,-183.259334,-0.042708
30.00000,-41866.758694,-5016.130626,79.505397,21.945248,-183.165071,-0.044230
31.00000,-41844.411162,-5199.260683,79.460416,22.746430,-183.067301,-0.045752
32.00000,-41821.262605,-5382.291211,79.413913,23.547177,-182.966027,-0.047272
33.00000,-41797.313465,-5565.218706,79.365890,24.347473,-182.861251,-0.048792
34.00000,-41772.564202,-5748.039667,79.316348,25.147304,-182.752974,-0.050311
35.00000,-41747.015289,-5930.750593,79.265288,25.946652,-182.641199,-0.051828
36.00000,-41720.667215,-6113.347987,79.212710,26.745504,-182.525927,-0.053345
37.00000,-41693.520484,-6295.828353,79.158616,27.543844,-182.407161,-0.054861
38.00000,-41665.575617,-6478.188199,79.103007,28.341657,-182.284904,-0.056375
39.00000,-41636.833148,-6660.424034,79.045883,29.138927,-182.159157,-0.057889
