"Time (EpMin)","x (km)","y (km)","z (km)","vx (km/min)","vy (km/min)","vz (km/min)"
0.00000,14642.968414,3975.077269,15272.099421,47.671621,230.654203,-105.743309
1.00000,14689.585905,4205.440093,15165.260419,45.562244,230.065922,-107.932136
2.00000,14734.090717,4435.198083,15056.240325,43.446313,229.444552,-110.105439
3.00000,14776.476449,4664.318197,14945.054818,41.324134,228.790183,-112.262908
4.00000,14816.737004,4892.767481,14831.719891,39.196012,228.102909,-114.404230
5.00000,14854.866594,5120.513079,14716.251842,37.062253,227.382829,-116.529099
6.00000,14890.859733,5347.522237,14598.667279,34.923163,226.630046,-118.637208
7.00000,14924.711245,5573.762306,14478.983113,32.779051,225.844669,-120.728255
8.00000,14956.416263,5799.200748,14357.216557,30.630224,225.026811,-122.801939
9.00000,14985.970224,6023.805140,14233.385123,28.476992,224.176589,-124.857960
10.00000,15013.368881,6247.543178,14107.506622,26.319664,223.294125,-126.896025
11.00000,15038.608290,6470.382685,13979.599157,24.158551,222.379547,-128.915839
12.00000,15061.684824,6692.291612,13849.681124,21.993963,221.432986,-130.917113
13.00000,15082.595163,6913.238043,13717.771208,19.826213,220.454579,-132.899557
14.00000,15101.336299,7133.190201,13583.888381,17.655610,219.444465,-134.862888
15.00000,15117.905537,7352.116452,13448.051898,15.482469,218.402790,-136.806823
16.00000,15132.300494,7569.985311,13310.281295,13.307101,217.329704,-138.731081
17.00000,15144.519101,7786.765442,13170.596386,11.129819,216.225362,-140.635388
18.00000,15154.559598,8002.425668,13029.017261,8.950936,215.089922,-142.519468
19.00000,15162.420544,8216.934974,12885.564283,6.770766,213.923547,-144.383050
20.00000,15168.100806,8430.262506,12740.258083,4.589622,212.726405,-146.225867
21.00000,15171.599568,8642.377585,12593.119559,2.407818,211.498669,-148.047654
22.00000,15172.916327,8853.249704,12444.169873,0.225668,210.240514,-149.848148
23.00000,15172.050893,9062.848535,12293.430446,-1.956515,208.952123,-151.627091
24.00000,15169.003391,9271.143932,12140.922960,-4.138416,207.633679,-153.384227
25.00000,15163.774259,9478.105939,11986.669346,-6.319722,206.285374,-155.119302
26.00000,15156.364250,9683.704790,11830.691791,-8.500119,204.907400,-156.832069
27.00000,15146.774428,9887.910916,11673.012728,-10.679294,203.499956,-158.522279
28.00000,15135.006174,10090.694946,11513.654833,-12.856933,202.063244,-160.189690
29.00000,15121.061179,10292.027717,11352.641027,-15.032722,200.597472,-161.834063
30.00000,15104.941450,10491.880272,11189.994466,-17.206350,199.102849,-163.455160
31.00000,15086.649304,10690.223869,11025.738542,-19.377503,197.579590,-165.052749
32.00000,15066.187373,10887.029981,10859.896880,-21.545869,196.027916,-166.626600
33.00000,15043.558599,11082.270303,10692.493330,-23.711136,194.448049,-168.176487
34.00000,15018.766236,11275.916756,10523.551969,-25.872994,192.840215,-169.702186
35.00000,14991.813852,11467.941489,10353.097094,-28.031130,191.204647,-171.203478
36.00000,14962.705321,11658.316884,10181.153221,-30.185234,189.541580,-172.680147
37.00000,14931.444830,11847.015562,10007.745078,-32.334998,187.851253,-174.131982
38.00000,14898.036876,12034.010384,9832.897605,-34.480110,186.133908,-175.558772
39.00000,14862.486263,12219.274456,9656.635950,-36.620264,184.389794,-176.960313
40.00000,14824.798103,12402.781132,9478.985462,-38.755151,182.619160,-178.336404
41.00000,14784.977818,12584.504021,9299.971692,-40.884464,180.822262,-179.686846
42.00000,14743.031134,12764.416987,9119.620385,-43.007898,178.999357,-181.011445
43.00000,14698.964085,12942.494154,8937.957480,-45.125145,177.150709,-182.310010
44.00000,14652.783007,13118.709911,8755.009104,-47.235903,175.276582,-183.582356
45.00000,14604.494543,13293.038915,8570.801569,-49.339867,173.377247,-184.828299
46.00000,14554.105638,13465.456094,8385.361368,-51.436735,171.452977,-186.047659
47.00000,14501.623538,13635.936649,8198.715171,-53.526206,169.504048,-187.240261
48.00000,14447.055792,13804.456063,8010.889822,-55.607978,167.530740,-188.405935
49.00000,14390.410248,13970.990098,7821.912334,-57.681752,165.533338,-189.544511
50.00000,14331.695053,14135.514803,7631.809887,-59.747231,163.512129,-190.655827
51.00000,14270.918651,14298.006517,7440.609820,-61.804117,161.467403,-191.739723
52.00000,14208.089783,14458.441869,7248.339634,-63.852113,159.399455,-192.796042
53.00000,14143.217485,14616.797785,7055.026980,-65.890927,157.308581,-193.824633
54.00000,14076.311088,14773.051490,6860.699661,-67.920264,155.195084,-194.825347
55.00000,14007.380213,14927.180512,6665.385625,-69.939833,153.059266,-195.798042
56.00000,13936.434775,15079.162683,6469.112963,-71.949343,150.901434,-196.742577
57.00000,13863.484977,15228.976146,6271.909903,-73.948505,148.721900,-197.658816
58.00000,13788.541311,15376.599353,6073.804807,-75.937031,146.520976,-198.546627
59.00000,13711.614556,15522.011074,5874.826168,-77.914636,144.298980,-199.405883
60.00000,13632.715774,15665.190395,5675.002601,-79.881036,142.056230,-200.236460
61.00000,13551.856314,15806.116723,5474.362847,-81.835946,139.793049,-201.038239
62.00000,13469.047805,15944.769791,5272.935761,-83.779087,137.509763,-201.811104
63.00000,13384.302156,16081.129657,5070.750313,-85.710179,135.206701,-202.554945
64.00000,13297.631556,16215.176710,4867.835582,-87.628944,132.884192,-203.269653
65.00000,13209.048469,16346.891671,4664.220751,-89.535106,130.542572,-203.955127
66.00000,13118.565637,16476.255597,4459.935105,-91.428390,128.182177,-204.611268
67.00000,13026.196072,16603.249881,4255.008024,-93.308526,125.803347,-205.237982
68.00000,12931.953059,16727.856260,4049.468981,-95.175241,123.406424,-205.835177
69.00000,12835.850152,16850.056812,3843.347537,-97.028269,120.991752,-206.402770
70.00000,12737.901173,16969.833963,3636.673337,-98.867341,118.559679,-206.940677
71.00000,12638.120209,17087.170486,3429.476104,-100.692195,116.110554,-207.448821
72.00000,12536.521611,17202.049505,3221.785640,-102.502566,113.644730,-207.927130
73.00000,12433.119991,17314.454499,3013.631812,-104.298196,111.162562,-208.375535
74.00000,12327.930220,17424.369300,2805.044560,-106.078825,108.664406,-208.793970
75.00000,12220.967427,17531.778101,2596.053881,-107.844198,106.150622,-209.182377
76.00000,12112.246995,17636.665455,2386.689835,-109.594060,103.621571,-209.540698
77.00000,12001.784561,17739.016276,2176.982530,-111.328161,101.077617,-209.868884
78.00000,11889.596011,17838.815843,1966.962129,-113.046250,98.519126,-210.166885
79.00000,11775.697481,17936.049804,1756.658836,-114.748080,95.946466,-210.434660
80.00000,11660.105351,18030.704174,1546.102897,-116.433408,93.360006,-210.672170
81.00000,11542.836247,18122.765341,1335.324596,-118.101989,90.760119,-210.879380
82.00000,11423.907035,18212.220062,1124.354246,-119.753585,88.147180,-211.056262
83.00000,11303.334818,18299.055474,913.222190,-121.387958,85.521562,-211.202789
84.00000,11181.136937,18383.259087,701.958793,-123.004873,82.883645,-211.318941
85.00000,11057.330968,18464.818790,490.594439,-124.604097,80.233807,-211.404701
86.00000,10931.934717,18543.722855,279.159526,-126.185400,77.572430,-211.460056
87.00000,10804.966217,18619.959932,67.684465,-127.748555,74.899897,-211.484998
88.00000,10676.443730,18693.519057,-143.800331,-129.293337,72.216591,-211.479524
89.00000,10546.385740,18764.389651,-355.264445,-130.819524,69.522899,-211.443635
90.00000,10414.810953,18832.561522,-566.677464,-132.326897,66.819208,-211.377336
91.00000,10281.738291,18898.024863,-778.008983,-133.815237,64.105907,-211.280636
92.00000,10147.186894,18960.770261,-989.228608,-135.284333,61.383386,-211.153550
93.00000,10011.176112,19020.788692,-1200.305960,-136.733971,58.652037,-210.996095
94.00000,9873.725507,19078.071523,-1411.210683,-138.163944,55.912252,-210.808294
95.00000,9734.854847,19132.610515,-1621.912442,-139.574046,53.164426,-210.590175
96.00000,9594.584106,19184.397826,-1832.380936,-140.964075,50.408954,-210.341768
97.00000,9452.933456,19233.426006,-2042.585894,-142.333829,47.646232,-210.063109
98.00000,9309.923270,19279.688005,-2252.497084,-143.683114,44.876657,-209.754239
99.00000,9165.574117,19323.177170,-2462.084316,-145.011733,42.100628,-209.415202
100.00000,9019.906757,19363.887244,-2671.317448,-146.319496,39.318545,-209.046046
101.00000,8872.942139,19401.812374,-2880.166386,-147.606216,36.530806,-208.646825
102.00000,8724.701401,19436.947105,-3088.601095,-148.871707,33.737813,-208.217596
103.00000,8575.205863,19469.286383,-3296.591596,-150.115786,30.939969,-207.758421
104.00000,8424.477025,19498.825558,-3504.107976,-151.338276,28.137674,-207.269365
