"Duration (min)","From Object","To Object"
1.000,"From Sensor Sensor17","To Sensor Sensor22"
1.000,"From Sensor Sensor17","To Sensor Sensor23"
1.000,"From Sensor Sensor17","To Sensor Sensor24"
1.000,"From Sensor Sensor17","To Sensor Sensor27"
1.000,"From Sensor Sensor17","To Sensor Sensor28"
1.000,"From Sensor Sensor17","To Sensor Sensor31"
1.000,"From Sensor Sensor17","To Sensor Sensor32"
1.000,"From Sensor Sensor17","To Sensor Sensor33"
1.000,"From Sensor Sensor17","To Sensor Sensor34"
1.000,"From Sensor Sensor17","To Sensor Sensor35"
1.000,"From Sensor Sensor17","To Sensor Sensor36"
1.000,"From Sensor Sensor18","To Sensor Sensor12"
1.000,"From Sensor Sensor18","To Sensor Sensor13"
1.000,"From Sensor Sensor18","To Sensor Sensor15"
1.000,"From Sensor Sensor18","To Sensor Sensor16"
1.000,"From Sensor Sensor18","To Sensor Sensor23"
1.000,"From Sensor Sensor18","To Sensor Sensor24"
0.732,"From Sensor Sensor18","To Sensor Sensor27"
1.000,"From Sensor Sensor18","To Sensor Sensor28"
1.000,"From Sensor Sensor18","To Sensor Sensor31"
1.000,"From Sensor Sensor18","To Sensor Sensor32"
1.000,"From Sensor Sensor18","To Sensor Sensor33"
1.000,"From Sensor Sensor18","To Sensor Sensor34"
1.000,"From Sensor Sensor18","To Sensor Sensor35"
1.000,"From Sensor Sensor18","To Sensor Sensor36"
1.000,"From Sensor Sensor18","To Sensor Sensor37"
1.000,"From Sensor Sensor18","To Sensor Sensor38"
1.000,"From Sensor Sensor21","To Sensor Sensor11"
1.000,"From Sensor Sensor21","To Sensor Sensor12"
1.000,"From Sensor Sensor21","To Sensor Sensor16"
1.000,"From Sensor Sensor21","To Sensor Sensor17"
1.000,"From Sensor Sensor21","To Sensor Sensor23"
1.000,"From Sensor Sensor21","To Sensor Sensor24"
1.000,"From Sensor Sensor21","To Sensor Sensor26"
1.000,"From Sensor Sensor21","To Sensor Sensor27"
1.000,"From Sensor Sensor21","To Sensor Sensor31"
1.000,"From Sensor Sensor21","To Sensor Sensor32"
1.000,"From Sensor Sensor21","To Sensor Sensor33"
1.000,"From Sensor Sensor21","To Sensor Sensor34"
1.000,"From Sensor Sensor21","To Sensor Sensor35"
1.000,"From Sensor Sensor21","To Sensor Sensor36"
1.000,"From Sensor Sensor21","To Sensor Sensor37"
1.000,"From Sensor Sensor21","To Sensor Sensor38"
1.000,"From Sensor Sensor22","To Sensor Sensor11"
1.000,"From Sensor Sensor22","To Sensor Sensor12"
1.000,"From Sensor Sensor22","To Sensor Sensor16"
1.000,"From Sensor Sensor22","To Sensor Sensor17"
1.000,"From Sensor Sensor22","To Sensor Sensor24"
1.000,"From Sensor Sensor22","To Sensor Sensor25"
1.000,"From Sensor Sensor22","To Sensor Sensor27"
1.000,"From Sensor Sensor22","To Sensor Sensor28"
1.000,"From Sensor Sensor22","To Sensor Sensor31"
1.000,"From Sensor Sensor22","To Sensor Sensor32"
1.000,"From Sensor Sensor22","To Sensor Sensor33"
1.000,"From Sensor Sensor22","To Sensor Sensor34"
1.000,"From Sensor Sensor22","To Sensor Sensor35"
1.000,"From Sensor Sensor22","To Sensor Sensor36"
1.000,"From Sensor Sensor22","To Sensor Sensor37"
1.000,"From Sensor Sensor22","To Sensor Sensor38"
1.000,"From Sensor Sensor23","To Sensor Sensor11"
1.000,"From Sensor Sensor23","To Sensor Sensor12"
1.000,"From Sensor Sensor23","To Sensor Sensor13"
0.731,"From Sensor Sensor23","To Sensor Sensor14"
1.000,"From Sensor Sensor23","To Sensor Sensor15"
1.000,"From Sensor Sensor23","To Sensor Sensor16"
1.000,"From Sensor Sensor23","To Sensor Sensor17"
1.000,"From Sensor Sensor23","To Sensor Sensor18"
1.000,"From Sensor Sensor23","To Sensor Sensor21"
1.000,"From Sensor Sensor23","To Sensor Sensor25"
1.000,"From Sensor Sensor23","To Sensor Sensor26"
1.000,"From Sensor Sensor23","To Sensor Sensor28"
1.000,"From Sensor Sensor23","To Sensor Sensor33"
1.000,"From Sensor Sensor23","To Sensor Sensor34"
1.000,"From Sensor Sensor23","To Sensor Sensor36"
1.000,"From Sensor Sensor23","To Sensor Sensor37"
1.000,"From Sensor Sensor23","To Sensor Sensor38"
1.000,"From Sensor Sensor24","To Sensor Sensor11"
1.000,"From Sensor Sensor24","To Sensor Sensor12"
1.000,"From Sensor Sensor24","To Sensor Sensor13"
1.000,"From Sensor Sensor24","To Sensor Sensor14"
1.000,"From Sensor Sensor24","To Sensor Sensor15"
1.000,"From Sensor Sensor24","To Sensor Sensor16"
1.000,"From Sensor Sensor24","To Sensor Sensor17"
1.000,"From Sensor Sensor24","To Sensor Sensor18"
1.000,"From Sensor Sensor24","To Sensor Sensor21"
1.000,"From Sensor Sensor24","To Sensor Sensor22"
1.000,"From Sensor Sensor24","To Sensor Sensor26"
1.000,"From Sensor Sensor24","To Sensor Sensor27"
1.000,"From Sensor Sensor24","To Sensor Sensor33"
1.000,"From Sensor Sensor24","To Sensor Sensor34"
1.000,"From Sensor Sensor24","To Sensor Sensor37"
1.000,"From Sensor Sensor24","To Sensor Sensor38"
1.000,"From Sensor Sensor25","To Sensor Sensor12"
1.000,"From Sensor Sensor25","To Sensor Sensor13"
1.000,"From Sensor Sensor25","To Sensor Sensor15"
1.000,"From Sensor Sensor25","To Sensor Sensor16"
1.000,"From Sensor Sensor25","To Sensor Sensor22"
1.000,"From Sensor Sensor25","To Sensor Sensor23"
1.000,"From Sensor Sensor25","To Sensor Sensor27"
1.000,"From Sensor Sensor25","To Sensor Sensor28"
1.000,"From Sensor Sensor25","To Sensor Sensor31"
1.000,"From Sensor Sensor25","To Sensor Sensor32"
1.000,"From Sensor Sensor25","To Sensor Sensor33"
1.000,"From Sensor Sensor25","To Sensor Sensor34"
1.000,"From Sensor Sensor25","To Sensor Sensor35"
1.000,"From Sensor Sensor25","To Sensor Sensor36"
1.000,"From Sensor Sensor25","To Sensor Sensor37"
1.000,"From Sensor Sensor25","To Sensor Sensor38"
1.000,"From Sensor Sensor26","To Sensor Sensor12"
1.000,"From Sensor Sensor26","To Sensor Sensor13"
1.000,"From Sensor Sensor26","To Sensor Sensor15"
1.000,"From Sensor Sensor26","To Sensor Sensor16"
1.000,"From Sensor Sensor26","To Sensor Sensor21"
1.000,"From Sensor Sensor26","To Sensor Sensor23"
1.000,"From Sensor Sensor26","To Sensor Sensor24"
1.000,"From Sensor Sensor26","To Sensor Sensor28"
1.000,"From Sensor Sensor26","To Sensor Sensor31"
1.000,"From Sensor Sensor26","To Sensor Sensor32"
1.000,"From Sensor Sensor26","To Sensor Sensor33"
1.000,"From Sensor Sensor26","To Sensor Sensor34"
1.000,"From Sensor Sensor26","To Sensor Sensor35"
1.000,"From Sensor Sensor26","To Sensor Sensor36"
1.000,"From Sensor Sensor26","To Sensor Sensor37"
1.000,"From Sensor Sensor26","To Sensor Sensor38"
1.000,"From Sensor Sensor27","To Sensor Sensor11"
1.000,"From Sensor Sensor27","To Sensor Sensor12"
1.000,"From Sensor Sensor27","To Sensor Sensor13"
1.000,"From Sensor Sensor27","To Sensor Sensor14"
1.000,"From Sensor Sensor27","To Sensor Sensor15"
1.000,"From Sensor Sensor27","To Sensor Sensor16"
1.000,"From Sensor Sensor27","To Sensor Sensor17"
0.731,"From Sensor Sensor27","To Sensor Sensor18"
1.000,"From Sensor Sensor27","To Sensor Sensor21"
1.000,"From Sensor Sensor27","To Sensor Sensor22"
1.000,"From Sensor Sensor27","To Sensor Sensor24"
1.000,"From Sensor Sensor27","To Sensor Sensor25"
1.000,"From Sensor Sensor27","To Sensor Sensor32"
1.000,"From Sensor Sensor27","To Sensor Sensor33"
1.000,"From Sensor Sensor27","To Sensor Sensor34"
1.000,"From Sensor Sensor27","To Sensor Sensor37"
1.000,"From Sensor Sensor27","To Sensor Sensor38"
1.000,"From Sensor Sensor28","To Sensor Sensor11"
1.000,"From Sensor Sensor28","To Sensor Sensor12"
1.000,"From Sensor Sensor28","To Sensor Sensor13"
1.000,"From Sensor Sensor28","To Sensor Sensor14"
1.000,"From Sensor Sensor28","To Sensor Sensor15"
1.000,"From Sensor Sensor28","To Sensor Sensor16"
1.000,"From Sensor Sensor28","To Sensor Sensor17"
1.000,"From Sensor Sensor28","To Sensor Sensor18"
1.000,"From Sensor Sensor28","To Sensor Sensor22"
1.000,"From Sensor Sensor28","To Sensor Sensor23"
1.000,"From Sensor Sensor28","To Sensor Sensor25"
1.000,"From Sensor Sensor28","To Sensor Sensor26"
1.000,"From Sensor Sensor28","To Sensor Sensor33"
1.000,"From Sensor Sensor28","To Sensor Sensor34"
1.000,"From Sensor Sensor28","To Sensor Sensor37"
1.000,"From Sensor Sensor28","To Sensor Sensor38"
1.000,"From Sensor Sensor31","To Sensor Sensor11"
1.000,"From Sensor Sensor31","To Sensor Sensor12"
1.000,"From Sensor Sensor31","To Sensor Sensor13"
1.000,"From Sensor Sensor31","To Sensor Sensor14"
1.000,"From Sensor Sensor31","To Sensor Sensor15"
1.000,"From Sensor Sensor31","To Sensor Sensor16"
1.000,"From Sensor Sensor31","To Sensor Sensor17"
1.000,"From Sensor Sensor31","To Sensor Sensor18"
1.000,"From Sensor Sensor31","To Sensor Sensor21"
1.000,"From Sensor Sensor31","To Sensor Sensor22"
1.000,"From Sensor Sensor31","To Sensor Sensor25"
1.000,"From Sensor Sensor31","To Sensor Sensor26"
1.000,"From Sensor Sensor31","To Sensor Sensor33"
1.000,"From Sensor Sensor31","To Sensor Sensor34"
1.000,"From Sensor Sensor31","To Sensor Sensor36"
1.000,"From Sensor Sensor31","To Sensor Sensor37"
1.000,"From Sensor Sensor32","To Sensor Sensor11"
1.000,"From Sensor Sensor32","To Sensor Sensor13"
1.000,"From Sensor Sensor32","To Sensor Sensor14"
1.000,"From Sensor Sensor32","To Sensor Sensor15"
1.000,"From Sensor Sensor32","To Sensor Sensor16"
1.000,"From Sensor Sensor32","To Sensor Sensor17"
1.000,"From Sensor Sensor32","To Sensor Sensor18"
1.000,"From Sensor Sensor32","To Sensor Sensor21"
1.000,"From Sensor Sensor32","To Sensor Sensor22"
1.000,"From Sensor Sensor32","To Sensor Sensor25"
1.000,"From Sensor Sensor32","To Sensor Sensor26"
1.000,"From Sensor Sensor32","To Sensor Sensor27"
1.000,"From Sensor Sensor32","To Sensor Sensor34"
1.000,"From Sensor Sensor32","To Sensor Sensor35"
1.000,"From Sensor Sensor32","To Sensor Sensor37"
1.000,"From Sensor Sensor32","To Sensor Sensor38"
1.000,"From Sensor Sensor33","To Sensor Sensor14"
1.000,"From Sensor Sensor33","To Sensor Sensor15"
1.000,"From Sensor Sensor33","To Sensor Sensor17"
1.000,"From Sensor Sensor33","To Sensor Sensor18"
1.000,"From Sensor Sensor33","To Sensor Sensor21"
1.000,"From Sensor Sensor33","To Sensor Sensor22"
1.000,"From Sensor Sensor33","To Sensor Sensor23"
1.000,"From Sensor Sensor33","To Sensor Sensor24"
1.000,"From Sensor Sensor33","To Sensor Sensor25"
1.000,"From Sensor Sensor33","To Sensor Sensor26"
1.000,"From Sensor Sensor33","To Sensor Sensor27"
1.000,"From Sensor Sensor33","To Sensor Sensor28"
1.000,"From Sensor Sensor33","To Sensor Sensor31"
1.000,"From Sensor Sensor33","To Sensor Sensor35"
1.000,"From Sensor Sensor33","To Sensor Sensor36"
1.000,"From Sensor Sensor33","To Sensor Sensor38"
1.000,"From Sensor Sensor34","To Sensor Sensor14"
1.000,"From Sensor Sensor34","To Sensor Sensor15"
1.000,"From Sensor Sensor34","To Sensor Sensor17"
1.000,"From Sensor Sensor34","To Sensor Sensor18"
1.000,"From Sensor Sensor34","To Sensor Sensor21"
1.000,"From Sensor Sensor34","To Sensor Sensor22"
1.000,"From Sensor Sensor34","To Sensor Sensor23"
1.000,"From Sensor Sensor34","To Sensor Sensor24"
1.000,"From Sensor Sensor34","To Sensor Sensor25"
1.000,"From Sensor Sensor34","To Sensor Sensor26"
1.000,"From Sensor Sensor34","To Sensor Sensor27"
1.000,"From Sensor Sensor34","To Sensor Sensor28"
1.000,"From Sensor Sensor34","To Sensor Sensor31"
1.000,"From Sensor Sensor34","To Sensor Sensor32"
1.000,"From Sensor Sensor34","To Sensor Sensor36"
1.000,"From Sensor Sensor34","To Sensor Sensor37"
1.000,"From Sensor Sensor35","To Sensor Sensor11"
1.000,"From Sensor Sensor35","To Sensor Sensor12"
1.000,"From Sensor Sensor35","To Sensor Sensor13"
1.000,"From Sensor Sensor35","To Sensor Sensor14"
1.000,"From Sensor Sensor35","To Sensor Sensor15"
1.000,"From Sensor Sensor35","To Sensor Sensor16"
1.000,"From Sensor Sensor35","To Sensor Sensor17"
1.000,"From Sensor Sensor35","To Sensor Sensor18"
1.000,"From Sensor Sensor35","To Sensor Sensor21"
1.000,"From Sensor Sensor35","To Sensor Sensor22"
1.000,"From Sensor Sensor35","To Sensor Sensor25"
1.000,"From Sensor Sensor35","To Sensor Sensor26"
1.000,"From Sensor Sensor35","To Sensor Sensor32"
1.000,"From Sensor Sensor35","To Sensor Sensor33"
1.000,"From Sensor Sensor35","To Sensor Sensor37"
1.000,"From Sensor Sensor35","To Sensor Sensor38"
1.000,"From Sensor Sensor36","To Sensor Sensor11"
1.000,"From Sensor Sensor36","To Sensor Sensor12"
1.000,"From Sensor Sensor36","To Sensor Sensor13"
1.000,"From Sensor Sensor36","To Sensor Sensor14"
1.000,"From Sensor Sensor36","To Sensor Sensor15"
1.000,"From Sensor Sensor36","To Sensor Sensor17"
1.000,"From Sensor Sensor36","To Sensor Sensor18"
1.000,"From Sensor Sensor36","To Sensor Sensor21"
1.000,"From Sensor Sensor36","To Sensor Sensor22"
1.000,"From Sensor Sensor36","To Sensor Sensor23"
1.000,"From Sensor Sensor36","To Sensor Sensor25"
1.000,"From Sensor Sensor36","To Sensor Sensor26"
1.000,"From Sensor Sensor36","To Sensor Sensor31"
1.000,"From Sensor Sensor36","To Sensor Sensor33"
1.000,"From Sensor Sensor36","To Sensor Sensor34"
1.000,"From Sensor Sensor36","To Sensor Sensor38"
1.000,"From Sensor Sensor37","To Sensor Sensor11"
1.000,"From Sensor Sensor37","To Sensor Sensor13"
1.000,"From Sensor Sensor37","To Sensor Sensor14"
1.000,"From Sensor Sensor37","To Sensor Sensor18"
1.000,"From Sensor Sensor37","To Sensor Sensor21"
1.000,"From Sensor Sensor37","To Sensor Sensor22"
1.000,"From Sensor Sensor37","To Sensor Sensor23"
1.000,"From Sensor Sensor37","To Sensor Sensor24"
1.000,"From Sensor Sensor37","To Sensor Sensor25"
1.000,"From Sensor Sensor37","To Sensor Sensor26"
1.000,"From Sensor Sensor37","To Sensor Sensor27"
1.000,"From Sensor Sensor37","To Sensor Sensor28"
1.000,"From Sensor Sensor37","To Sensor Sensor31"
1.000,"From Sensor Sensor37","To Sensor Sensor32"
1.000,"From Sensor Sensor37","To Sensor Sensor34"
1.000,"From Sensor Sensor37","To Sensor Sensor35"
1.000,"From Sensor Sensor38","To Sensor Sensor11"
1.000,"From Sensor Sensor38","To Sensor Sensor13"
1.000,"From Sensor Sensor38","To Sensor Sensor14"
1.000,"From Sensor Sensor38","To Sensor Sensor18"
1.000,"From Sensor Sensor38","To Sensor Sensor21"
1.000,"From Sensor Sensor38","To Sensor Sensor22"
1.000,"From Sensor Sensor38","To Sensor Sensor23"
1.000,"From Sensor Sensor38","To Sensor Sensor24"
1.000,"From Sensor Sensor38","To Sensor Sensor25"
1.000,"From Sensor Sensor38","To Sensor Sensor26"
1.000,"From Sensor Sensor38","To Sensor Sensor27"
1.000,"From Sensor Sensor38","To Sensor Sensor28"
1.000,"From Sensor Sensor38","To Sensor Sensor32"
1.000,"From Sensor Sensor38","To Sensor Sensor33"
1.000,"From Sensor Sensor38","To Sensor Sensor35"
1.000,"From Sensor Sensor38","To Sensor Sensor36"

