21528	0	55	0	0	0
21528	0	55	0	0	45
21528	0	55	0	0	90
21528	0	55	0	0	135
21528	0	55	0	0	180
21528	0	55	0	0	225
21528	0	55	0	0	270
21528	0	55	0	0	315
21528	0	55	0	120	15
21528	0	55	0	120	60
21528	0	55	0	120	105
21528	0	55	0	120	150
21528	0	55	0	120	195
21528	0	55	0	120	240
21528	0	55	0	120	285
21528	0	55	0	120	330
21528	0	55	0	240	30
21528	0	55	0	240	75
21528	0	55	0	240	120
21528	0	55	0	240	165
21528	0	55	0	240	210
21528	0	55	0	240	255
21528	0	55	0	240	300
21528	0	55	0	240	345
42166.3	0	0	0	0	80
42166.3	0	0	0	0	110
42166.3	0	0	0	0	140
42166.3	0	55	0	115	0
42166.3	0	55	0	235	0
42166.3	0	55	0	355	0
